,input,expected_output,network_output
0,1.0,0,0.06793673586360982
1,2.0,1,0.28530267581924734
2,0.0,0,0.03192178992655747
3,0.0,0,0.02941410629250133
4,0.0,0,0.04314219878494218
5,0.0,0,0.07920901718848314
6,0.0,0,0.188026079668035
7,1.0,0,0.3685250772394483
8,2.0,1,0.7911778285545074
9,0.0,0,0.0635933364880011
10,0.0,0,0.023889404518731897
11,0.0,0,0.03212089739900244
12,0.0,0,0.048527047921195283
13,0.0,0,0.08302202916615739
14,1.0,0,0.15123417795320182
15,2.0,1,0.6882043457174966
16,0.0,0,0.0860791095861695
17,0.0,0,0.025752571823689466
18,0.0,0,0.032387377282689735
19,0.0,0,0.048536288970821996
20,0.0,0,0.08293047889774344
21,1.0,0,0.15127865113456185
22,2.0,1,0.6889250992904542
23,0.0,0,0.08648340176067396
24,0.0,0,0.02576211265043698
25,0.0,0,0.0323746463328057
26,0.0,0,0.04850661408852662
27,1.0,0,0.08286216593705682
28,2.0,1,0.5791934779219285
29,0.0,0,0.08305815308048772
30,0.0,0,0.02892849559926803
31,0.0,0,0.035319392952197416
32,0.0,0,0.055670562053119474
33,1.0,0,0.1079379709912445
34,2.0,1,0.6929607143835098
35,0.0,0,0.12292825493681943
36,0.0,0,0.028471505384473617
37,0.0,0,0.03226601926102753
38,0.0,0,0.04792017987070084
39,0.0,0,0.08300251865910507
40,1.0,0,0.15765259750608432
41,2.0,1,0.7077338097129008
42,0.0,0,0.09417836480711746
43,0.0,0,0.025825433368447014
44,0.0,0,0.03204960194067222
45,0.0,0,0.04775094696385284
46,0.0,0,0.08091719877561096
47,1.0,0,0.1469446131025597
48,2.0,1,0.6838882887597318
49,0.0,0,0.08632674109879507
50,0.0,0,0.025848784429800716
51,0.0,0,0.032447105816276814
52,0.0,0,0.04866759418652607
53,1.0,0,0.08335949265732565
54,2.0,1,0.5823658620132123
55,0.0,0,0.08391309285654436
56,0.0,0,0.028908683360259535
57,0.0,0,0.03522633606722023
58,0.0,0,0.05541999987243323
59,1.0,0,0.10707209161755245
60,2.0,1,0.6905986424373042
61,0.0,0,0.12198172873020086
62,0.0,0,0.028488094269382154
63,0.0,0,0.03232631353407725
64,0.0,0,0.04806146836405903
65,1.0,0,0.08342610283852153
66,2.0,1,0.5964310314704564
67,0.0,0,0.08947412450731326
68,0.0,0,0.029120458041221514
69,0.0,0,0.03494654456672078
70,0.0,0,0.054626493053042076
71,1.0,0,0.10463027750037142
72,2.0,1,0.6847947050072174
73,0.0,0,0.1200223503064969
74,0.0,0,0.028567538564305845
75,0.0,0,0.03248007718729866
76,0.0,0,0.04841762571235985
77,0.0,0,0.08452059898220461
78,0.0,0,0.16180399401931742
79,1.0,0,0.24431787680712208
80,2.0,1,0.6921508264165032
81,0.0,0,0.051619973953783975
82,0.0,0,0.024238886307446646
83,0.0,0,0.03288339846536057
84,0.0,0,0.05000075603988198
85,1.0,0,0.08607444046012624
86,2.0,1,0.5891711135454895
87,0.0,0,0.08459540235318355
88,0.0,0,0.028656135019988732
89,0.0,0,0.03493493024014551
90,0.0,0,0.05466968001740525
91,1.0,0,0.1042874759046324
92,2.0,1,0.6817229973089687
93,0.0,0,0.118214229278855
94,0.0,0,0.02851891273695063
95,0.0,0,0.03255156178726854
96,0.0,0,0.048598368401812954
97,0.0,0,0.08503311431362018
98,0.0,0,0.16305045298246243
99,1.0,0,0.2458171707149209
100,2.0,1,0.692413283898955
101,0.0,0,0.05135782568681765
102,0.0,0,0.024228257633142673
103,0.0,0,0.03288746720731644
104,0.0,0,0.05001509451817043
105,0.0,0,0.08611549855986186
106,1.0,0,0.15556782706711966
107,2.0,1,0.6886464061975422
108,0.0,0,0.08366743778868065
109,0.0,0,0.025613492425028684
110,0.0,0,0.03240293691762643
111,0.0,0,0.04858586914926292
112,0.0,0,0.0829545207589658
113,1.0,0,0.15097174759380952
114,2.0,1,0.6878407825492201
115,0.0,0,0.08604389584980272
116,0.0,0,0.025757745558606503
117,0.0,0,0.032393217585677515
118,0.0,0,0.04855013366949563
119,0.0,0,0.08297395639052643
120,1.0,0,0.15139753550106239
121,2.0,1,0.6891106091986096
122,0.0,0,0.08651696203753285
123,0.0,0,0.025760529128069462
124,0.0,0,0.03237181138513964
125,0.0,0,0.048500178531380306
126,1.0,0,0.0828438886374833
127,2.0,1,0.5790865160636236
128,0.0,0,0.0830307040166266
129,0.0,0,0.028929393647336307
130,0.0,0,0.03532264938966813
131,0.0,0,0.05567931526918206
132,0.0,0,0.10796851935359769
133,1.0,0,0.22261355249874332
134,2.0,1,0.7612862899351891
135,0.0,0,0.09596645540509553
136,0.0,0,0.0250486995573923
137,0.0,0,0.03149368632703601
138,0.0,0,0.04664357868597933
139,1.0,0,0.07781585189634464
140,2.0,1,0.5478852242262181
141,0.0,0,0.07557289806686224
142,0.0,0,0.0292232627183719
143,0.0,0,0.03632045631953658
144,0.0,0,0.05841288441490862
145,0.0,0,0.11773768227833185
146,1.0,0,0.24735932671919442
147,2.0,1,0.7734917729755006
148,0.0,0,0.09371346021171373
149,0.0,0,0.024823603312858638
150,0.0,0,0.03146079270239844
151,0.0,0,0.04664069746555282
152,0.0,0,0.07783987115935942
153,0.0,0,0.13912583132289613
154,1.0,0,0.20402037841126316
155,2.0,1,0.6587686534706306
156,0.0,0,0.05183639213966219
157,0.0,0,0.024528491345474086
158,0.0,0,0.033137794383206354
159,0.0,0,0.05050045673311247
160,0.0,0,0.08735659751152611
161,1.0,0,0.1581587876186232
162,2.0,1,0.6914175100650941
163,0.0,0,0.08370078859272767
164,0.0,0,0.025567813027498353
165,0.0,0,0.03236708964390022
166,0.0,0,0.04850766323626261
167,1.0,0,0.08271554130058598
168,2.0,1,0.5772145414701835
169,0.0,0,0.082417987654736
170,0.0,0,0.028919335937212895
171,0.0,0,0.0353670465403384
172,0.0,0,0.055802209268614886
173,0.0,0,0.10837122053820607
174,1.0,0,0.223550139643617
175,2.0,1,0.7617265782923073
176,0.0,0,0.09583587311068961
177,0.0,0,0.025038328932004493
178,0.0,0,0.0314931087809948
179,0.0,0,0.04664500799669156
180,0.0,0,0.07781900297759647
181,0.0,0,0.13904162522509
182,1.0,0,0.2038691697826956
183,2.0,1,0.6586199045654048
184,0.0,0,0.0518348306510034
185,0.0,0,0.024529809241267728
186,0.0,0,0.03313915644270567
187,0.0,0,0.050503358801009306
188,1.0,0,0.08736460483476986
189,2.0,1,0.5951292139135103
190,0.0,0,0.0860447285361028
191,0.0,0,0.028588611220763907
192,0.0,0,0.03475570156996687
193,0.0,0,0.05420027372599255
194,0.0,0,0.10267225024993461
195,0.0,0,0.20823435257159578
196,1.0,0,0.3010198950726853
197,2.0,1,0.7017268507925262
198,0.0,0,0.04358674736904067
199,0.0,0,0.02392644845165807
200,0.0,0,0.033019519292181394
201,0.0,0,0.0504924551717095
202,0.0,0,0.08756964297845898
203,0.0,0,0.1590679533414477
204,1.0,0,0.2236708095287412
205,2.0,1,0.6575785332991001
206,0.0,0,0.047065256170043
207,0.0,0,0.024353777129103308
208,0.0,0,0.0332361012774115
209,0.0,0,0.05080507551349904
210,1.0,0,0.08818375324717065
211,2.0,1,0.5987686203777595
212,0.0,0,0.08693633353174926
213,0.0,0,0.02854599683478455
214,0.0,0,0.0346466790467425
215,0.0,0,0.05391629615752275
216,1.0,0,0.10169899626019287
217,2.0,1,0.6734844980931902
218,0.0,0,0.11498662982021365
219,0.0,0,0.028566846179167577
220,0.0,0,0.03276541484256108
221,0.0,0,0.04911071537810701
222,1.0,0,0.08659638410070498
223,2.0,1,0.6136259829442988
224,0.0,0,0.0946295014910104
225,0.0,0,0.029001775993314428
226,0.0,0,0.03443533494107634
227,0.0,0,0.053283610857029644
228,0.0,0,0.10006473188510107
229,0.0,0,0.2031825656942888
230,1.0,0,0.29777748662720227
231,2.0,1,0.7049252198723672
232,0.0,0,0.044828959729240885
233,0.0,0,0.02394238129871761
234,0.0,0,0.0329696563684336
235,0.0,0,0.05036182756195142
236,0.0,0,0.0872081012130861
237,1.0,0,0.1582736612679753
238,2.0,1,0.6922685043997134
239,0.0,0,0.08411739972564374
240,0.0,0,0.025574873077322504
241,0.0,0,0.03235187369636905
242,0.0,0,0.04847146622834837
243,1.0,0,0.08262486388403832
244,2.0,1,0.5767687744544252
245,0.0,0,0.08231560912538043
246,0.0,0,0.028925168979937504
247,0.0,0,0.035381660244844085
248,0.0,0,0.055841298107658366
249,0.0,0,0.10851004521114668
250,0.0,0,0.2239129294153505
251,1.0,0,0.3200279915586911
252,2.0,1,0.7040618092819113
253,0.0,0,0.041408657706509915
254,0.0,0,0.0238513233311077
255,0.0,0,0.0330654272473434
256,0.0,0,0.050654366642506436
257,0.0,0,0.08808561513086961
258,0.0,0,0.16036730139469035
259,1.0,0,0.22535106114384748
260,2.0,1,0.6583794100014715
261,0.0,0,0.046908593274953767
262,0.0,0,0.024341333476269125
263,0.0,0,0.0332326874797374
264,0.0,0,0.05080182704141825
265,0.0,0,0.08817714125835355
266,1.0,0,0.15986281676175057
267,2.0,1,0.6931362120127627
268,0.0,0,0.08367774020557306
269,0.0,0,0.025537630465596928
270,0.0,0,0.032345687273700116
271,0.0,0,0.04846131502912526
272,0.0,0,0.08257191996817156
273,1.0,0,0.14993896310339672
274,2.0,1,0.6862155262271333
275,0.0,0,0.08575480043497975
276,0.0,0,0.02577178684113475
277,0.0,0,0.03241811351613175
278,0.0,0,0.04860673950935945
279,0.0,0,0.08313515584965912
280,0.0,0,0.151794963118528
281,1.0,0,0.22019564037064343
282,2.0,1,0.6660283827690427
283,0.0,0,0.049872092112832674
284,0.0,0,0.02438863352812094
285,0.0,0,0.033113050028124785
286,0.0,0,0.05049080933705672
287,0.0,0,0.08733350807401263
288,1.0,0,0.1580676024281912
289,2.0,1,0.6912274618560066
290,0.0,0,0.08364516792834703
291,0.0,0,0.025568109955891715
292,0.0,0,0.03237001390037712
293,0.0,0,0.048514321094411665
294,0.0,0,0.08273293643961181
295,0.0,0,0.15036882267072801
296,1.0,0,0.21763109962479987
297,2.0,1,0.6636449145674432
298,0.0,0,0.04984116522080816
299,0.0,0,0.02440772802632812
300,0.0,0,0.03313297366865704
301,0.0,0,0.05053184247122817
302,0.0,0,0.08744127676095696
303,1.0,0,0.15829698610329898
304,2.0,1,0.691476538755678
305,0.0,0,0.08365162818352055
306,0.0,0,0.02556422892777263
307,0.0,0,0.032366799949661566
308,0.0,0,0.048507303879207944
309,1.0,0,0.08271172941352037
310,2.0,1,0.5771712717015364
311,0.0,0,0.08240450290125838
312,0.0,0,0.02891922251918655
313,0.0,0,0.03536812966298193
314,0.0,0,0.055805189280861665
315,0.0,0,0.10838114162964602
316,1.0,0,0.22357375686491218
317,2.0,1,0.761738132715565
318,0.0,0,0.09583299133021336
319,0.0,0,0.0250380767502237
320,0.0,0,0.03149308343385805
321,0.0,0,0.04664501911990281
322,0.0,0,0.07781902571342221
323,1.0,0,0.13904159450461004
324,2.0,1,0.6708405105381452
325,0.0,0,0.08418805123539912
326,0.0,0,0.025978367954736264
327,0.0,0,0.032657038328581904
328,0.0,0,0.04915013005640054
329,0.0,0,0.08476830330648225
330,0.0,0,0.15605264693129195
331,1.0,0,0.22605657956449535
332,2.0,1,0.6691357128988104
333,0.0,0,0.049362685842985435
334,0.0,0,0.024343980493787814
335,0.0,0,0.0330985896791397
336,0.0,0,0.05047336922306183
337,0.0,0,0.08729334427130231
338,1.0,0,0.1579850897725964
339,2.0,1,0.6911391647230554
340,0.0,0,0.08364337520446725
341,0.0,0,0.0255695043627004
342,0.0,0,0.03237113704482036
343,0.0,0,0.048516750776314885
344,0.0,0,0.08274024924610333
345,1.0,0,0.1503881664188003
346,0.0,0,0.6869174005911969
347,0.0,0,0.875731202782332
348,0.0,0,0.8297553412849688
