,input,expected_output,network_output
0,1,0,0.009466339399111765
1,2,1,0.04268260365421231
2,0,0,0.00968760865567774
3,0,0,0.0031221135311776337
4,0,0,0.00800757300349045
5,0,0,0.022522878008641105
6,0,0,0.08926855219210134
7,0,0,0.31150799483854186
8,1,0,0.6227385930506553
9,2,1,0.8548047088498416
10,0,0,0.09435940095690673
11,0,0,0.004073081639298738
12,0,0,0.01024770748489559
13,0,0,0.021631853374486375
14,0,0,0.0644845837092439
15,1,0,0.1668946661414679
16,2,1,0.5917097269214963
17,0,0,0.07042833049449715
18,0,0,0.0038042091602969778
19,0,0,0.009803882305720654
20,0,0,0.023917488099001273
21,0,0,0.08610112828876264
22,0,0,0.25773802717551997
23,1,0,0.5234346541160371
24,2,1,0.8210234895595391
25,0,0,0.08870791295799574
26,0,0,0.003990542197226204
27,0,0,0.010118303164952656
28,0,0,0.0217357542746605
29,0,0,0.066854045804821
30,0,0,0.17741202136531173
31,1,0,0.3733600008699664
32,2,1,0.7531170863451176
33,0,0,0.08052177975637566
34,0,0,0.003891442606529289
35,0,0,0.00996797299827081
36,0,0,0.02224796438264719
37,0,0,0.07242017786983099
38,1,0,0.20089945760594774
39,2,1,0.646077851807469
40,0,0,0.07577958692824743
41,0,0,0.0038797414739186993
42,0,0,0.010028012217191677
43,0,0,0.02406856770606805
44,0,0,0.0853204414880337
45,1,0,0.25123900195967924
46,2,1,0.7029217212245622
47,0,0,0.08131193571953889
48,0,0,0.003959896172001849
49,0,0,0.010257313424385336
50,0,0,0.0241462934728549
51,0,0,0.08388029489753099
52,1,0,0.2424042469355795
53,2,1,0.6925322288928658
54,0,0,0.08014003955148183
55,0,0,0.003939866878220414
56,0,0,0.010196500896406946
57,0,0,0.024072098632028912
58,0,0,0.08384734047103819
59,1,0,0.24308146822984936
60,2,1,0.6936315231615922
61,0,0,0.08027992154704508
62,0,0,0.003942577154569469
63,0,0,0.01020526090228073
64,0,0,0.024087844076372367
65,0,0,0.08389311530985194
66,1,0,0.24314439273862395
67,2,1,0.6936387062451718
68,0,0,0.08027671286040758
69,0,0,0.003942436605308173
70,0,0,0.010204699659626322
71,0,0,0.024085894818234244
72,0,0,0.08388255309948615
73,0,0,0.24311036872421202
74,1,0,0.49520692334368094
75,2,1,0.8100473013561698
76,0,0,0.08714904827585784
77,0,0,0.003969624144990564
78,0,0,0.010085721545569156
79,0,0,0.021798192673954882
80,1,0,0.06770327687292292
81,2,1,0.4212277342871112
82,0,0,0.05953269773833818
83,0,0,0.003833730559313025
84,0,0,0.010044374080049538
85,0,0,0.026471996365735388
86,0,0,0.10465490622379571
87,1,0,0.3267825848376735
88,2,1,0.7633596661707928
89,0,0,0.0880007082729314
90,0,0,0.00406669926383506
91,0,0,0.010549489109718754
92,0,0,0.024331223675857914
93,0,0,0.08251295872522717
94,1,0,0.2334106404101044
95,2,1,0.6809933086798616
96,0,0,0.07883133364109887
97,0,0,0.003917883824295181
98,0,0,0.010129698760586107
99,0,0,0.023987660590563564
100,0,0,0.08378823449796062
101,1,0,0.24374995475232517
102,2,1,0.6947624953192737
103,0,0,0.08042668988498793
104,0,0,0.0039454733250185925
105,0,0,0.01021468321766198
106,0,0,0.024105379820984665
107,0,0,0.08394708488269348
108,0,0,0.2432307494356448
109,1,0,0.4952918465633466
110,2,1,0.8100661127071632
111,0,0,0.08714837922333951
112,0,0,0.003969553555931687
113,0,0,0.010085387509373114
114,0,0,0.021796657900501497
115,1,0,0.0676947990152748
116,2,1,0.42119003009980865
117,0,0,0.05952867628816378
118,0,0,0.0038336635691919594
119,0,0,0.010044155178579565
120,0,0,0.026471614371037084
121,0,0,0.10465379182335559
122,0,0,0.3267826498147551
123,1,0,0.6149751169341242
124,2,1,0.8499271948489251
125,0,0,0.09272792832903702
126,0,0,0.004034720919174958
127,0,0,0.010137601299508192
128,0,0,0.021297295515698308
129,0,0,0.06317847217980548
130,0,0,0.16294191172607522
131,1,0,0.34157856847829654
132,2,1,0.7332337391254938
133,0,0,0.07839120492789724
134,0,0,0.003864922978907678
135,0,0,0.009912030621425906
136,0,0,0.02233471790538179
137,0,0,0.07361252079497142
138,1,0,0.206269409357677
139,2,1,0.6535869545421846
140,0,0,0.0765340325904261
141,0,0,0.003890953219326815
142,0,0,0.010061359896251917
143,0,0,0.02409345385117219
144,0,0,0.08522069992873524
145,1,0,0.2503650177175263
146,2,1,0.7018441601264036
147,0,0,0.0811846779477565
148,0,0,0.00395759326927897
149,0,0,0.010250153128381742
150,0,0,0.024135910254872144
151,0,0,0.08386324807010433
152,0,0,0.24243174111136603
153,1,0,0.49355573683177156
154,2,1,0.809343691120863
155,0,0,0.08704499553276539
156,0,0,0.003968096455175543
157,0,0,0.010082756253659569
158,0,0,0.021798941434887382
159,1,0,0.06774078581329553
160,2,1,0.42144420588484244
161,0,0,0.05956117566884576
162,0,0,0.0038342997692277126
163,0,0,0.010046255938216692
164,0,0,0.026476472679896904
165,0,0,0.10467367191815984
166,1,0,0.3268175724907309
167,2,1,0.7633717036624081
168,0,0,0.08800097800951372
169,0,0,0.004066675343600401
170,0,0,0.010549361127603745
171,0,0,0.024330648782769464
172,1,0,0.08250948246562143
173,2,1,0.4814340924717218
174,0,0,0.06602232656659188
175,0,0,0.003944465660625748
176,0,0,0.010408768873114772
177,0,0,0.02711129859400469
178,0,0,0.10648323421723907
179,0,0,0.32679586565285357
180,1,0,0.6109874831949896
181,2,1,0.8483812925427181
182,0,0,0.09236837700071608
183,0,0,0.00402771300398607
184,0,0,0.0101206043016166
185,0,0,0.02126208500754734
186,0,0,0.06309887195365961
187,1,0,0.16279915582055365
188,2,1,0.5857118930647086
189,0,0,0.06996741768166072
190,0,0,0.0037990524413742404
191,0,0,0.009789336152963724
192,0,0,0.023936659055319626
193,0,0,0.08636608190968575
194,0,0,0.2590380287070852
195,1,0,0.5256163960303294
196,2,1,0.8218089873268074
197,0,0,0.08881665940563285
198,0,0,0.003991875378665509
199,0,0,0.010119797906145119
200,0,0,0.02172821592966317
201,0,0,0.06677722659672383
202,0,0,0.17709685820140383
203,1,0,0.3726677367448194
204,2,1,0.7527068544032645
205,0,0,0.08047638210100712
206,0,0,0.003890865278606764
207,0,0,0.009966770110922148
208,0,0,0.022249693575714432
209,0,0,0.07244491346742968
210,1,0,0.20101090126858925
211,2,1,0.6462368309172928
212,0,0,0.07579553204237129
213,0,0,0.0038799773519165117
214,0,0,0.010028714371615424
215,0,0,0.0240690926994915
216,0,0,0.08531835834957924
217,1,0,0.2512205992195837
218,2,1,0.7028990747946473
219,0,0,0.08130925696270717
220,0,0,0.003959847586536701
221,0,0,0.010257162275737735
222,0,0,0.024146073424824093
223,0,0,0.08387992845269901
224,0,0,0.24240480019821284
225,1,0,0.4934305470796882
226,2,1,0.8092851825624505
227,0,0,0.0870353665139987
228,0,0,0.003967937577503523
229,0,0,0.010082390505925827
230,0,0,0.021798567718044958
231,1,0,0.06774174718265966
232,2,1,0.42145299178745543
233,0,0,0.059562602071182566
234,0,0,0.0038343321059537334
235,0,0,0.01004636356590895
236,0,0,0.026476768572024557
237,0,0,0.10467505210990638
238,1,0,0.3268207611527102
239,2,1,0.7633731665633146
240,0,0,0.08800108472634251
241,0,0,0.004066675546085949
242,0,0,0.010549358050791015
243,0,0,0.024330619160577105
244,0,0,0.08250926736639635
245,0,0,0.23339795386953902
246,1,0,0.47473389918234776
247,2,1,0.8013309443911905
248,0,0,0.08593916467767172
249,0,0,0.003952769828533352
250,0,0,0.010055114010357205
251,0,0,0.021829996461373416
252,0,0,0.0682714524414913
253,1,0,0.18360537560372936
254,2,1,0.6206114712700662
255,0,0,0.07329326437116028
256,0,0,0.0038444207372768393
257,0,0,0.00992376622388447
258,0,0,0.024007208526839234
259,1,0,0.08575559312441106
260,2,1,0.5010165190350628
261,0,0,0.06909301000243474
262,0,0,0.004009686352830787
263,0,0,0.0106254711074233
264,0,0,0.02767722562025857
265,1,0,0.10891732461751881
266,2,1,0.570012420981135
267,0,0,0.07678816436340392
268,0,0,0.004157485456950375
269,0,0,0.011125933560295906
270,0,0,0.028604256806240104
271,1,0,0.11162653154013766
272,2,1,0.5724240044171608
273,0,0,0.07646054055119449
274,0,0,0.00414541543888257
275,0,0,0.011085713757120357
276,0,0,0.02841348034891108
277,0,0,0.11055491409942891
278,0,0,0.33019979694140456
279,1,0,0.6080706225103162
280,2,1,0.8468322837390084
281,0,0,0.09191796304198348
282,0,0,0.004017300482687352
283,0,0,0.010090518862721389
284,0,0,0.02117993321420591
285,0,0,0.06279415288860966
286,1,0,0.1619091501362986
287,2,1,0.584394488377909
288,0,0,0.0698658204696171
289,0,0,0.003797933113563635
290,0,0,0.009786202386715915
291,0,0,0.02394095177654745
292,1,0,0.08642466846272395
293,2,1,0.5052413153762447
294,0,0,0.06978090586662908
295,0,0,0.004024223350291693
296,0,0,0.010673669854229937
297,0,0,0.027805576823837438
298,1,0,0.10946954015240028
299,2,1,0.5710664067718636
300,0,0,0.07685609614019748
301,0,0,0.0041581886308199
302,0,0,0.011128302921830391
303,0,0,0.028597924198163333
304,0,0,0.11155836772930666
305,0,0,0.333084249153943
306,1,0,0.6109644025250709
307,2,1,0.8476172850848972
308,0,0,0.09201585697243655
309,0,0,0.004017777103553008
310,0,0,0.010087654148570161
311,0,0,0.021156027046181625
312,0,0,0.06263614506327812
313,1,0,0.16132416301896016
314,2,1,0.5833653816274846
315,0,0,0.06977147565562397
316,0,0,0.0037967039671051215
317,0,0,0.009782576187657004
318,0,0,0.0239398296675891
319,1,0,0.08644678215788629
320,2,1,0.505370488168554
321,0,0,0.06980133580389428
322,0,0,0.004024650802326094
323,0,0,0.01067508796420444
324,0,0,0.027809288359229876
325,1,0,0.1094852757372037
326,2,1,0.5710958632405077
327,0,0,0.07685790502518335
328,0,0,0.004158205596093908
329,0,0,0.011128360047795915
330,0,0,0.028597712338339482
331,0,0,0.11155628076294666
332,0,0,0.3330759777758511
333,1,0,0.6109543789403719
334,2,1,0.8476143527252732
335,0,0,0.09201541781331055
336,0,0,0.004017772573631567
337,0,0,0.010087654367685401
338,0,0,0.021156079249926477
339,0,0,0.06263655826069915
340,0,0,0.16132576176118973
341,1,0,0.3386496381343603
342,2,1,0.7314803055190016
343,0,0,0.07822829662420208
344,0,0,0.0038634119857195513
345,0,0,0.00991006596799503
346,0,0,0.022351771517706436
347,1,0,0.07376467476742221
348,2,1,0.4515511602513828
349,0,0,0.06328203247337104
350,0,0,0.0039050653852103745
351,0,0,0.010279926681136189
352,0,0,0.02699163395430862
353,1,0,0.10666279069934373
354,0,0,0.5673989068111086
355,0,0,0.8442426920219618
356,0,0,0.8790016793668718
357,0,0,0.9057221754478718
358,0,0,0.9012991631815174
359,0,0,0.8929777371399393
360,0,0,0.8660373410667739
361,1,0,0.8321093335968138
362,2,1,0.879969975627509
363,0,0,0.08643767535672696
364,0,0,0.003625153778211531
365,0,0,0.008036531123608765
366,0,0,0.013860548846189109
367,0,0,0.029350747337077845
368,0,0,0.054549776483437055
