,trial,prior_node,posterior_node,weight
0,0,-2,3175,0.0
1,0,55677,3175,0.0
2,0,3175,4793,0.0
3,0,46536,4793,0.0
4,0,26327,0,0.0
5,0,3176,0,0.0
6,0,51993,3176,0.0
7,0,26327,51993,0.0
8,0,-1,26327,0.0
9,0,46536,55677,0.0
10,1,-2,3175,0.040659328995697235
11,1,55677,3175,0.042893802214195545
12,1,3175,4793,0.07408701032063207
13,1,46536,4793,0.0231028172417654
14,1,26327,0,0.0129463981661339
15,1,3176,0,0.025702075653174325
16,1,51993,3176,0.032537965725546535
17,1,26327,51993,0.015621864965964833
18,1,-1,26327,0.028905880715623788
19,1,46536,55677,0.015640148167385837
20,2,-2,3175,0.07004376041467061
21,2,55677,3175,0.06743718026229999
22,2,3175,4793,0.12681262883923636
23,2,46536,4793,0.036290130981496325
24,2,26327,0,0.017604032861556793
25,2,3176,0,0.027094278185024162
26,2,51993,3176,0.04905949518340916
27,2,26327,51993,0.025168560524226218
28,2,-1,26327,0.04482272265573968
29,2,46536,55677,0.02094014168168539
30,3,-2,3175,0.08773739730909305
31,3,55677,3175,0.08103143048122487
32,3,3175,4793,0.14699146138425798
33,3,46536,4793,0.039565205081486775
34,3,26327,0,0.02187716653753288
35,3,3176,0,0.02677611536952493
36,3,51993,3176,0.06532569276764504
37,3,26327,51993,0.032312274620701915
38,3,-1,26327,0.05933782648355238
39,3,46536,55677,0.023871212546804802
40,4,-2,3175,0.10011226938580167
41,4,55677,3175,0.09399389368761542
42,4,3175,4793,0.1722229710146453
43,4,46536,4793,0.04152171483292786
44,4,26327,0,0.02547685731909011
45,4,3176,0,0.0260895493237699
46,4,51993,3176,0.07129085055296014
47,4,26327,51993,0.03530795823838539
48,4,-1,26327,0.07241457292626251
49,4,46536,55677,0.025193831043979754
50,5,-2,3175,0.10832637654612633
51,5,55677,3175,0.09468103980159522
52,5,3175,4793,0.1640215868883176
53,5,46536,4793,0.04009815918333212
54,5,26327,0,0.028635452182883093
55,5,3176,0,0.026297944480004866
56,5,51993,3176,0.085647065986377
57,5,26327,51993,0.04126219045051493
58,5,-1,26327,0.08430270016512903
59,5,46536,55677,0.026175138409275312
60,6,-2,3175,0.11512825493589898
61,6,55677,3175,0.1052441541003251
62,6,3175,4793,0.1926438304192469
63,6,46536,4793,0.04554421496437377
64,6,26327,0,0.03127016829990496
65,6,3176,0,0.02663628858610348
66,6,51993,3176,0.08358702277816328
67,6,26327,51993,0.04139890576698105
68,6,-1,26327,0.09518082594445736
69,6,46536,55677,0.02734223537928102
70,7,-2,3175,0.11897032941272082
71,7,55677,3175,0.10707655169652563
72,7,3175,4793,0.19141660034492092
73,7,46536,4793,0.04547981444037191
74,7,26327,0,0.03360424746079206
75,7,3176,0,0.026182774999632924
76,7,51993,3176,0.08988428804223966
77,7,26327,51993,0.04366194543458499
78,7,-1,26327,0.10485294772856714
79,7,46536,55677,0.028273056097043548
80,8,-2,3175,0.12232945620710751
81,8,55677,3175,0.1090079183532124
82,8,3175,4793,0.19382664520337523
83,8,46536,4793,0.04647303481755828
84,8,26327,0,0.035529574021522944
85,8,3176,0,0.02676486522696588
86,8,51993,3176,0.09181727408626059
87,8,26327,51993,0.04471344865885586
88,8,-1,26327,0.11348203805017953
89,8,46536,55677,0.028999045942405627
90,9,-2,3175,0.12266340216131405
91,9,55677,3175,0.11214771094760219
92,9,3175,4793,0.2012867940810087
93,9,46536,4793,0.045379063319398845
94,9,26327,0,0.03722351018964113
95,9,3176,0,0.025591670533617595
96,9,51993,3176,0.09000151168242942
97,9,26327,51993,0.043730974680018596
98,9,-1,26327,0.12129855697200691
99,9,46536,55677,0.028522807182181892
100,10,-2,3175,0.12521286266094117
101,10,55677,3175,0.10841933745843069
102,10,3175,4793,0.18703568303170343
103,10,46536,4793,0.04364454327944373
104,10,26327,0,0.038704301709311946
105,10,3176,0,0.026336802414642042
106,10,51993,3176,0.09876516890047157
107,10,26327,51993,0.04744884632456233
108,10,-1,26327,0.12838358829198301
109,10,46536,55677,0.028736337533392272
110,11,-2,3175,0.1278895855557397
111,11,55677,3175,0.11190101150411302
112,11,3175,4793,0.19930282300543872
113,11,46536,4793,0.04840011388819402
114,11,26327,0,0.039907324798530694
115,11,3176,0,0.027782436456489795
116,11,51993,3176,0.09688946612534305
117,11,26327,51993,0.0475545534354612
118,11,-1,26327,0.1349426639796296
119,11,46536,55677,0.029745264409992967
120,12,-2,3175,0.1297134346128038
121,12,55677,3175,0.10902219825308787
122,12,3175,4793,0.1887329651827146
123,12,46536,4793,0.047345951444842785
124,12,26327,0,0.04097013033658526
125,12,3176,0,0.028887186025244097
126,12,51993,3176,0.10187751529258356
127,12,26327,51993,0.049767095026076257
128,12,-1,26327,0.14068401334230707
129,12,46536,55677,0.02999102571914772
130,13,-2,3175,0.12874650801312038
131,13,55677,3175,0.11393743479295018
132,13,3175,4793,0.20556323219497558
133,13,46536,4793,0.048987021447861344
134,13,26327,0,0.04187695496981834
135,13,3176,0,0.028162940703663458
136,13,51993,3176,0.09494578583710098
137,13,26327,51993,0.04712741102832821
138,13,-1,26327,0.14600486322874356
139,13,46536,55677,0.029638357234721455
140,14,-2,3175,0.1296946628707981
141,14,55677,3175,0.1097253797628901
142,14,3175,4793,0.19011386852899184
143,14,46536,4793,0.046324421211570474
144,14,26327,0,0.04269499230927115
145,14,3176,0,0.02848151733918749
146,14,51993,3176,0.10228989141989722
147,14,26327,51993,0.049893690474334736
148,14,-1,26327,0.15069504961408825
149,14,46536,55677,0.029580631701901144
150,15,-2,3175,0.1309613134349505
151,15,55677,3175,0.11273350333409117
152,15,3175,4793,0.20108965744804314
153,15,46536,4793,0.050144182321553016
154,15,26327,0,0.04333402268766136
155,15,3176,0,0.029414987516062596
156,15,51993,3176,0.09943312714118024
157,15,26327,51993,0.04926379496154856
158,15,-1,26327,0.1550806077204123
159,15,46536,55677,0.030319669018402808
160,16,-2,3175,0.131975540117299
161,16,55677,3175,0.10963658575801374
162,16,3175,4793,0.1900505278965584
163,16,46536,4793,0.04863462507225539
164,16,26327,0,0.04390719001787617
165,16,3176,0,0.030222189831046974
166,16,51993,3176,0.10372631702797028
167,16,26327,51993,0.051013545573285156
168,16,-1,26327,0.1588584970716111
169,16,46536,55677,0.030417562741469548
170,17,-2,3175,0.13215981010442276
171,17,55677,3175,0.11209615785107482
172,17,3175,4793,0.19847190542173665
173,17,46536,4793,0.050847105595398664
174,17,26327,0,0.04439573758651054
175,17,3176,0,0.03047849092647954
176,17,51993,3176,0.10094395466037981
177,17,26327,51993,0.05010173677117705
178,17,-1,26327,0.16240736519256863
179,17,46536,55677,0.030790981863708804
180,18,-2,3175,0.1328498608319865
181,18,55677,3175,0.10914021287643695
182,18,3175,4793,0.18797189924451102
183,18,46536,4793,0.04911397472185346
184,18,26327,0,0.044813302338861015
185,18,3176,0,0.03109608529399487
186,18,51993,3176,0.10478779565387636
187,18,26327,51993,0.05158013773234133
188,18,-1,26327,0.1654690331778777
189,18,46536,55677,0.03077483187850938
190,19,-2,3175,0.134214828485019
191,19,55677,3175,0.10834065785345438
192,19,3175,4793,0.1862784901785979
193,19,46536,4793,0.050156226056697326
194,19,26327,0,0.04517598105077803
195,19,3176,0,0.032429017903027754
196,19,51993,3176,0.10656379980258389
197,19,26327,51993,0.05277951161923462
198,19,-1,26327,0.16837590649694653
199,19,46536,55677,0.03105753846437162
200,20,-2,3175,0.13537452053242843
201,20,55677,3175,0.10790405886392684
202,20,3175,4793,0.1856103959251251
203,20,46536,4793,0.05126067153740355
204,20,26327,0,0.04545829239105421
205,20,3176,0,0.033583115767898165
206,20,51993,3176,0.10758934462807306
207,20,26327,51993,0.0537075892520191
208,20,-1,26327,0.17090936332854514
209,20,46536,55677,0.03136423474107772
210,21,-2,3175,0.13241253005764506
211,21,55677,3175,0.1129813594771242
212,21,3175,4793,0.20269744302873094
213,21,46536,4793,0.05126797895596609
214,21,26327,0,0.04570797836410925
215,21,3176,0,0.03154693501741416
216,21,51993,3176,0.09870670080147265
217,21,26327,51993,0.04978327538390414
218,21,-1,26327,0.1731934023533146
219,21,46536,55677,0.030483099202419896
220,22,-2,3175,0.13101934944415164
221,22,55677,3175,0.11247389676027782
222,22,3175,4793,0.19837636685440274
223,22,46536,4793,0.049455778456296506
224,22,26327,0,0.045981238305377634
225,22,3176,0,0.029902406709880588
226,22,51993,3176,0.1005954893595585
227,22,26327,51993,0.049575371286052945
228,22,-1,26327,0.1752414878820528
229,22,46536,55677,0.03046739156981626
230,23,-2,3175,0.130781246776624
231,23,55677,3175,0.11282040621494255
232,23,3175,4793,0.19889685508685273
233,23,46536,4793,0.049320250340622096
234,23,26327,0,0.04613710259999143
235,23,3176,0,0.02967024682347427
236,23,51993,3176,0.09917809863144604
237,23,26327,51993,0.0488273859801955
238,23,-1,26327,0.1770055099699106
239,23,46536,55677,0.030538394815909944
240,24,-2,3175,0.1282581811015739
241,24,55677,3175,0.1146666422414087
242,24,3175,4793,0.20459493472359727
243,24,46536,4793,0.047248506136364686
244,24,26327,0,0.046319455384501725
245,24,3176,0,0.027705897524151372
246,24,51993,3176,0.09492405392792477
247,24,26327,51993,0.04646836994499263
248,24,-1,26327,0.1786294355789473
249,24,46536,55677,0.029542915313281713
250,25,-2,3175,0.12822813033962494
251,25,55677,3175,0.11380698575659683
252,25,3175,4793,0.20036181345871606
253,25,46536,4793,0.046904100256505876
254,25,26327,0,0.04650269440274396
255,25,3176,0,0.027033772574859543
256,25,51993,3176,0.09780857247798229
257,25,26327,51993,0.04729979150517796
258,25,-1,26327,0.18012331193544956
259,25,46536,55677,0.029844552304215358
260,26,-2,3175,0.13024322728332458
261,26,55677,3175,0.1107108422413605
262,26,3175,4793,0.1905374974371591
263,26,46536,4793,0.046824808676758325
264,26,26327,0,0.04658439012600229
265,26,3176,0,0.02850437717647962
266,26,51993,3176,0.10169548901055676
267,26,26327,51993,0.04936757926005051
268,26,-1,26327,0.1814155704180893
269,26,46536,55677,0.030253397419904602
270,27,-2,3175,0.13203431979116179
271,27,55677,3175,0.10910693707531494
272,27,3175,4793,0.18655433031390012
273,27,46536,4793,0.04780339212175009
274,27,26327,0,0.046706263555114466
275,27,3176,0,0.030038315601953122
276,27,51993,3176,0.10453318848221428
277,27,26327,51993,0.051169642810789895
278,27,-1,26327,0.18275497479671973
279,27,46536,55677,0.030551764855427172
280,28,-2,3175,0.13036806163141246
281,28,55677,3175,0.11404963092364406
282,28,3175,4793,0.2044247627499539
283,28,46536,4793,0.04941512028300611
284,28,26327,0,0.04677442971957989
285,28,3176,0,0.02908011796193648
286,28,51993,3176,0.09656836220001792
287,28,26327,51993,0.04809994468659363
288,28,-1,26327,0.1839091158054244
289,28,46536,55677,0.03002388256101428
290,29,-2,3175,0.13080677200928953
291,29,55677,3175,0.10970688027817703
292,29,3175,4793,0.18885512512740826
293,29,46536,4793,0.04645449825989644
294,29,26327,0,0.04689575307971508
295,29,3176,0,0.029124777450070038
296,29,51993,3176,0.10364654765256406
297,29,26327,51993,0.050607341266623425
298,29,-1,26327,0.18491464060109797
299,29,46536,55677,0.029832980853525835
300,30,-2,3175,0.13176201108752578
301,30,55677,3175,0.11275666077845356
302,30,3175,4793,0.200374293033511
303,30,46536,4793,0.05029101640957509
304,30,26327,0,0.046934438777824994
305,30,3176,0,0.029925849794199773
306,30,51993,3176,0.10034452427771859
307,30,26327,51993,0.04975327965590103
308,30,-1,26327,0.18596907783303326
309,30,46536,55677,0.03050252229343058
310,31,-2,3175,0.12920943150844946
311,31,55677,3175,0.11502642520209995
312,31,3175,4793,0.20739068359376864
313,31,46536,4793,0.04858911161154001
314,31,26327,0,0.04699439038835575
315,31,3176,0,0.028166019455516687
316,31,51993,3176,0.09504287529282471
317,31,26327,51993,0.04704222727862053
318,31,-1,26327,0.18673540200770022
319,31,46536,55677,0.02960939384665274
320,32,-2,3175,0.12996077062617556
321,32,55677,3175,0.1104498221571298
322,32,3175,4793,0.19116104921081736
323,32,46536,4793,0.0458565528806443
324,32,26327,0,0.04708265249161632
325,32,3176,0,0.028356013195389232
326,32,51993,3176,0.1025940387131586
327,32,26327,51993,0.049880083086102436
328,32,-1,26327,0.18744833122450105
329,32,46536,55677,0.029513236312732023
330,33,-2,3175,0.1293993665091333
331,33,55677,3175,0.11558695488936892
332,33,3175,4793,0.21014028701200665
333,33,46536,4793,0.04916858046819341
334,33,26327,0,0.047090616104457
335,33,3176,0,0.028108171381326166
336,33,51993,3176,0.09492862953674001
337,33,26327,51993,0.04714513867043646
338,33,-1,26327,0.18825343465867983
339,33,46536,55677,0.029523172343525802
340,34,-2,3175,0.1271344557031078
341,34,55677,3175,0.11639564226723328
342,34,3175,4793,0.2112970404699339
343,34,46536,4793,0.04695821701208438
344,34,26327,0,0.04716774580686822
345,34,3176,0,0.026021996595869287
346,34,51993,3176,0.092978171980821
347,34,26327,51993,0.045657095842992254
348,34,-1,26327,0.1888463040726933
349,34,46536,55677,0.028888058927699863
350,35,-2,3175,0.12884836888629422
351,35,55677,3175,0.11198635453089237
352,35,3175,4793,0.196236019445739
353,35,46536,4793,0.045619288991073356
354,35,26327,0,0.0472200093837969
355,35,3176,0,0.027078172703378672
356,35,51993,3176,0.10020101740739573
357,35,26327,51993,0.048840443168596384
358,35,-1,26327,0.18931072759897133
359,35,46536,55677,0.02915228063473823
360,36,-2,3175,0.13031541730424537
361,36,55677,3175,0.11422098755572858
362,36,3175,4793,0.204960447092738
363,36,46536,4793,0.049513136309177246
364,36,26327,0,0.04721368279388514
365,36,3176,0,0.028293303095787148
366,36,51993,3176,0.09804588752548213
367,36,26327,51993,0.048559350402078
368,36,-1,26327,0.189906068256839
369,36,46536,55677,0.03000330911599353
370,37,-2,3175,0.1282380314865442
371,37,55677,3175,0.11597739411857737
372,37,3175,4793,0.21034935264358515
373,37,46536,4793,0.048038217022454324
374,37,26327,0,0.0472333964017981
375,37,3176,0,0.026963966278061757
376,37,51993,3176,0.09352918975690383
377,37,26327,51993,0.04624261417994311
378,37,-1,26327,0.19028819917465029
379,37,46536,55677,0.02927248034448933
380,38,-2,3175,0.12813742448752047
381,38,55677,3175,0.1146257225658027
382,38,3175,4793,0.20395542637898992
383,38,46536,4793,0.04729069091701439
384,38,26327,0,0.047287652415330325
385,38,3176,0,0.02636101989362211
386,38,51993,3176,0.09698751419118463
387,38,26327,51993,0.04713831303622819
388,38,-1,26327,0.19065531235398508
389,38,46536,55677,0.029635651508701687
390,39,-2,3175,0.13019483917499816
391,39,55677,3175,0.11133425982102539
392,39,3175,4793,0.19326432953795952
393,39,46536,4793,0.047150475679147624
394,39,26327,0,0.047255342601316634
395,39,3176,0,0.027968024029576658
396,39,51993,3176,0.10104852895534792
397,39,26327,51993,0.049245688046763034
398,39,-1,26327,0.19091725455372702
399,39,46536,55677,0.030109973584438073
400,40,-2,3175,0.13198633182108804
401,40,55677,3175,0.10954669421749734
402,40,3175,4793,0.18848163614156738
403,40,46536,4793,0.048011142407748314
404,40,26327,0,0.04728196031243137
405,40,3176,0,0.02958647321899521
406,40,51993,3176,0.1040683495827693
407,40,26327,51993,0.05108087922280138
408,40,-1,26327,0.19132931337288983
409,40,46536,55677,0.030440784192852743
410,41,-2,3175,0.13225906427195244
411,41,55677,3175,0.11211059301450385
412,41,3175,4793,0.19778098562011684
413,41,46536,4793,0.050555967354676754
414,41,26327,0,0.0472682494687516
415,41,3176,0,0.0300453012128366
416,41,51993,3176,0.10098449542644751
417,41,26327,51993,0.05018962933054737
418,41,-1,26327,0.1916485641670625
419,41,46536,55677,0.030819536574494294
420,42,-2,3175,0.13142881768194567
421,42,55677,3175,0.11238830318775442
422,42,3175,4793,0.19752291073827227
423,42,46536,4793,0.0498016055557605
424,42,26327,0,0.04728085340365956
425,42,3176,0,0.029534963557498687
426,42,51993,3176,0.10033838204656423
427,42,26327,51993,0.0494219786894071
428,42,-1,26327,0.19185924794593737
429,42,46536,55677,0.030770741500556156
430,43,-2,3175,0.1307723898712832
431,43,55677,3175,0.1124396310095748
432,43,3175,4793,0.19673104627480584
433,43,46536,4793,0.04903467577370166
434,43,26327,0,0.04728519698232704
435,43,3176,0,0.029118565368593675
436,43,51993,3176,0.09996291882340233
437,43,26327,51993,0.048854081845997196
438,43,-1,26327,0.19202828739613012
439,43,46536,55677,0.030702621737791345
440,44,-2,3175,0.13027760300476562
441,44,55677,3175,0.11243049190941724
442,44,3175,4793,0.19596631978409695
443,44,46536,4793,0.04842553156608268
444,44,26327,0,0.047291041275896714
445,44,3176,0,0.02876154171581823
446,44,51993,3176,0.09980846124402813
447,44,26327,51993,0.0484741397427261
448,44,-1,26327,0.1921786301939799
449,44,46536,55677,0.030647393809858814
450,45,-2,3175,0.1313146137185742
451,45,55677,3175,0.10914975713261042
452,45,3175,4793,0.18508677770331824
453,45,46536,4793,0.046936642208910376
454,45,26327,0,0.047294759159505664
455,45,3176,0,0.02959550042385384
456,45,51993,3176,0.10426593595547318
457,45,26327,51993,0.050401198215929206
458,45,-1,26327,0.1923129742827175
459,45,46536,55677,0.030616076717617284
460,46,-2,3175,0.13307929219446088
461,46,55677,3175,0.10834821699166634
462,46,3175,4793,0.18416619389938105
463,46,46536,4793,0.04854645639292874
464,46,26327,0,0.0473067295971135
465,46,3176,0,0.031210988498497363
466,46,51993,3176,0.10619894986101851
467,46,26327,51993,0.05190010522504225
468,46,-1,26327,0.1926176606379647
469,46,46536,55677,0.03093490390901819
470,47,-2,3175,0.13455566755654522
471,47,55677,3175,0.1079317211577783
472,47,3175,4793,0.18414858537138473
473,47,46536,4793,0.050116645917099925
474,47,26327,0,0.04728398155331197
475,47,3176,0,0.032603354061131275
476,47,51993,3176,0.10730473392890737
477,47,26327,51993,0.05306125246017938
478,47,-1,26327,0.19278662533130475
479,47,46536,55677,0.0312819686626821
480,48,-2,3175,0.13388892414279135
481,48,55677,3175,0.11072190564117544
482,48,3175,4793,0.1936320277745709
483,48,46536,4793,0.05161427752216935
484,48,26327,0,0.047273171006378546
485,48,3176,0,0.0322324050353208
486,48,51993,3176,0.10336703046714212
487,48,26327,51993,0.05157221107618274
488,48,-1,26327,0.1929364573550487
489,48,46536,55677,0.0313498842165884
490,49,-2,3175,0.1305180250383666
491,49,55677,3175,0.11352304933452231
492,49,3175,4793,0.20225434772251236
493,49,46536,4793,0.04920287524703653
494,49,26327,0,0.04728565248751521
495,49,3176,0,0.02980282312367204
496,49,51993,3176,0.09722132607231156
497,49,26327,51993,0.04822915874468693
498,49,-1,26327,0.19302023591217904
499,49,46536,55677,0.030132839788271217
