,input,expected_output,network_output
0,1,0,0.00440577487584011
1,0,0,0.15854421980463554
2,0,0,0.8547046071975257
3,0,0,0.9570661844506714
4,2,1,0.9798255981215224
5,0,0,0.027181905755307982
6,1,0,0.00013647934068494922
7,0,0,0.0011191237087021437
8,0,0,0.004102090317184089
9,0,0,0.019167672481044645
10,2,1,0.11846560358930307
11,0,0,0.011168911819808384
12,0,0,0.00037713073930897015
13,0,0,0.0004484959338092413
14,1,0,0.000756653312076514
15,0,0,0.01741498210612388
16,0,0,0.22187362319650877
17,0,0,0.7254768544954233
18,2,1,0.940293876555151
19,0,0,0.04275991562920957
20,1,0,0.000516950454149197
21,0,0,0.0030093662574225393
22,0,0,0.011529219739187422
23,0,0,0.05865829509429176
24,2,1,0.36050430625866786
25,0,0,0.021736915037691696
26,0,0,0.0006260206975889508
27,0,0,0.0004932026392012717
28,1,0,0.0005137700494318409
29,0,0,0.013856388139854103
30,0,0,0.16269395172432033
31,0,0,0.6235632045205738
32,2,1,0.9246680893394098
33,0,0,0.04463651555603196
34,0,0,0.00063044532604809
35,0,0,0.00015425312277901176
36,1,0,0.00011757842525544845
37,0,0,0.004125379328383894
38,0,0,0.023706463478417386
39,0,0,0.14377646799193858
40,2,1,0.5904486909279661
41,0,0,0.030826911005777786
42,1,0,0.0008096573747844322
43,0,0,0.012381763440730211
44,0,0,0.05848701014822548
45,0,0,0.3039979997413193
46,2,1,0.8245182885020665
47,0,0,0.04098337092569025
48,0,0,0.0008666986681447537
49,0,0,0.00030569305280435914
50,1,0,0.0001809978952550291
51,0,0,0.00665241640594375
52,0,0,0.04697283456437394
53,0,0,0.2726786282487983
54,2,1,0.7791598135506111
55,0,0,0.03883595161531359
56,0,0,0.0008660445712998158
57,0,0,0.0003283687510560823
58,1,0,0.00019910562267268805
59,0,0,0.007118884541852648
60,0,0,0.05297785034262796
61,0,0,0.3006020060085172
62,2,1,0.8024492348829619
63,0,0,0.04001344365079336
64,0,0,0.0008613575419915692
65,0,0,0.00031091608783698747
66,1,0,0.0001883298080454802
67,0,0,0.006748826619857095
68,0,0,0.04877373742852947
69,0,0,0.2810582304924565
70,2,1,0.7867623458043945
71,0,0,0.039207456135824464
72,0,0,0.0008649703760128204
73,1,0,0.00032293635622001975
74,0,0,0.005657839515099355
75,0,0,0.041412438025055745
76,0,0,0.25202394692773455
77,2,1,0.6876868793565667
78,0,0,0.035629053568934026
79,1,0,0.0008356412433834095
80,0,0,0.01007133949552491
81,0,0,0.04163910669558524
82,0,0,0.2218659686509625
83,2,1,0.7595970855765961
84,0,0,0.03745623260981106
85,1,0,0.0008751666948532213
86,0,0,0.010201874174395581
87,0,0,0.03838298918701553
88,0,0,0.2066381373019156
89,2,1,0.7610392608453402
90,0,0,0.03718988733608148
91,1,0,0.0008802382374287202
92,0,0,0.010437779756970895
93,0,0,0.03920513778114096
94,0,0,0.2108540560576397
95,2,1,0.7683726818339714
96,0,0,0.03751807975698573
97,0,0,0.0008826629413111028
98,0,0,0.0003588170907515734
99,1,0,0.00020797955153753478
100,0,0,0.00787249900076909
101,0,0,0.059604991521210245
102,0,0,0.3302577916829487
103,2,1,0.8226271540221508
104,0,0,0.04110292888036957
105,1,0,0.0008529284163426408
106,0,0,0.008190536970987853
107,0,0,0.028986943715032774
108,0,0,0.15747295673972891
109,2,1,0.6849837576897972
110,0,0,0.03365616734616173
111,0,0,0.0008468663230918059
112,1,0,0.00039447250370523034
113,0,0,0.007189690816128067
114,0,0,0.05766055962501008
115,0,0,0.34321210597100305
116,2,1,0.7830395897144748
117,0,0,0.039541980752706866
118,1,0,0.0008279371434439841
119,0,0,0.008137865695134241
120,0,0,0.030305523043113153
121,0,0,0.16282776664563947
122,2,1,0.6848432345732948
123,0,0,0.033860550612887945
124,0,0,0.000848907443709074
125,0,0,0.00039377391386380466
126,1,0,0.00024588128471847464
127,0,0,0.008840667029013717
128,0,0,0.07343587863916101
129,0,0,0.3848138358685099
130,2,1,0.853105956605993
131,0,0,0.04272789531038046
132,1,0,0.0008276706196207641
133,0,0,0.007237403777512342
134,0,0,0.02514770892696093
135,0,0,0.1363920159518065
136,2,1,0.640848172136456
137,0,0,0.031819849961697955
138,0,0,0.0008217996441757728
139,1,0,0.00040993089949465023
140,0,0,0.007905457167151934
141,0,0,0.0638624514813128
142,0,0,0.3736232780132345
143,2,1,0.8083203897525612
144,0,0,0.04072931123345573
145,0,0,0.0008215823581559865
146,1,0,0.0002775543988609448
147,0,0,0.005194485856325994
148,0,0,0.03500580175887083
149,0,0,0.21282126676090465
150,2,1,0.6334905615596327
151,0,0,0.03365518926020051
152,0,0,0.0008302183683215638
153,0,0,0.00039112838443068046
154,1,0,0.00027567686716276215
155,0,0,0.008602275719456444
156,0,0,0.0766545730774919
157,0,0,0.39591086622721067
158,2,1,0.858612586349398
159,0,0,0.042971613112054156
160,0,0,0.0008201598476442151
161,1,0,0.0002568014265671791
162,0,0,0.00459219229608972
163,0,0,0.03128915356573111
164,0,0,0.18635157925933912
165,2,1,0.5865776731248071
166,0,0,0.03198307001993936
167,0,0,0.000816691424646959
168,0,0,0.00041774515028464645
169,1,0,0.00031038189149304
170,0,0,0.00935439122620469
171,0,0,0.08861150722897265
172,0,0,0.4371310777601442
173,2,1,0.8754966175788457
174,0,0,0.04381709283279837
175,0,0,0.0007938915867672003
176,0,0,0.00023578253994619157
177,1,0,0.0001520315771197938
178,0,0,0.00536772602446337
179,0,0,0.03481810870935606
180,0,0,0.20925263023744076
181,2,1,0.7087499033023322
182,0,0,0.03553445098413213
183,0,0,0.0008580166264566667
184,0,0,0.00037120267411452256
185,1,0,0.0002330068089488308
186,0,0,0.008145060264978009
187,0,0,0.06595867123022156
188,0,0,0.3558041017417316
189,2,1,0.8382827652360111
190,0,0,0.04191926195208919
191,0,0,0.0008419413643353589
192,1,0,0.0002788491168113337
193,0,0,0.00490942021252786
194,0,0,0.03428282951088748
195,0,0,0.20631310261743385
196,2,1,0.6209273877591474
197,0,0,0.03318279077130454
198,0,0,0.0008253673292326529
199,0,0,0.0003970386378527241
200,1,0,0.0002839659495567307
201,0,0,0.0087767062688148
202,0,0,0.07944280325090466
203,0,0,0.40590447008972946
204,2,1,0.8629971721890004
205,0,0,0.04319803550669891
206,1,0,0.0008141711945118461
207,0,0,0.0068812726007053855
208,0,0,0.023842273002994234
209,0,0,0.1290963891005512
210,2,1,0.6231631973834819
211,0,0,0.031121653872750534
212,0,0,0.0008111314848275163
213,1,0,0.0004157658638472461
214,0,0,0.008217985871749822
215,0,0,0.06653753098587234
216,0,0,0.38584965773760027
217,2,1,0.8176106840599207
218,0,0,0.0411828860460065
219,0,0,0.0008183535560283154
220,0,0,0.00027109249692068154
221,1,0,0.00017589066993758316
222,0,0,0.005938132811617201
223,0,0,0.04161946193064917
224,0,0,0.24502275468410026
225,2,1,0.7532528457357245
226,0,0,0.03753159544533493
227,1,0,0.0008657810015798975
228,0,0,0.009845863357593005
229,0,0,0.03735769421296431
230,0,0,0.20116837105809302
231,2,1,0.7498894537835522
232,0,0,0.03672124470218554
233,1,0,0.0008763309815482118
234,0,0,0.010572382073907885
235,0,0,0.04025958276945494
236,0,0,0.21599074990399497
237,2,1,0.7728917417725605
238,0,0,0.03778670785058247
239,0,0,0.0008837587540645562
240,1,0,0.00035595953688508694
241,0,0,0.005957897973130215
242,0,0,0.046540934511231265
243,0,0,0.28146667235633954
244,2,1,0.7207173445185847
245,0,0,0.03688142861025892
246,0,0,0.0008334760657433339
247,1,0,0.0003338694682004752
248,0,0,0.006493815730533798
249,0,0,0.04598577448947966
250,0,0,0.28164984574941415
251,2,1,0.7273613472101816
252,0,0,0.037239828404246625
253,0,0,0.0008414796668065851
254,0,0,0.0003349329293567294
255,1,0,0.00021956199179068737
256,0,0,0.0072350881201699
257,0,0,0.05707879750431583
258,0,0,0.3181082072634858
259,2,1,0.8155694446786663
260,0,0,0.040672754262988206
261,1,0,0.0008559548790704605
262,0,0,0.008395917330213134
263,0,0,0.02988727150523938
264,0,0,0.16237939892121378
265,2,1,0.6941432611617782
266,0,0,0.034053122864520564
267,0,0,0.0008516629313329959
268,0,0,0.0003910415142621477
269,1,0,0.0002409229406924287
270,0,0,0.008786068805658569
271,0,0,0.07212677574983521
272,0,0,0.38000356001441576
273,2,1,0.8507047786973609
274,0,0,0.04260390081257265
275,1,0,0.0008303558755063107
276,0,0,0.007318712566810462
277,0,0,0.025455951783983532
278,0,0,0.1381078387880158
279,2,1,0.6448188918437114
280,0,0,0.03197916326910242
281,0,0,0.000824151328295381
282,1,0,0.0004085991006530551
283,0,0,0.007837431173717472
284,0,0,0.06327861306191217
285,0,0,0.37088423956861427
286,2,1,0.8061724790844258
287,0,0,0.04062574300798859
288,1,0,0.0008222510072675935
289,0,0,0.00765964741683291
290,0,0,0.02793770910084663
291,0,0,0.15002345674080073
292,2,1,0.6619154974561224
293,0,0,0.03286350432570808
294,0,0,0.0008366625399193094
295,0,0,0.0004027002337376334
296,1,0,0.0002575743666883663
297,0,0,0.009131951360679957
298,0,0,0.07780733150643025
299,0,0,0.400685635711686
300,2,1,0.8604440881757635
301,0,0,0.04311192074396253
302,0,0,0.0008185420425416411
303,1,0,0.00025476070413861296
304,0,0,0.004565811046272062
305,0,0,0.031007991965613563
306,0,0,0.18448996898226905
307,2,1,0.5832195356186404
308,0,0,0.0318677590925751
309,1,0,0.0008157654948821057
310,0,0,0.012022018198302292
311,0,0,0.05716891714401952
312,0,0,0.2985078330286265
313,2,1,0.8132834615969334
314,0,0,0.040369934971871184
315,0,0,0.0008615364525915931
316,0,0,0.0003088210696268992
317,1,0,0.0001846204310996873
318,0,0,0.006728466026988158
319,0,0,0.048044715961278274
320,0,0,0.2777497561454385
321,2,1,0.7837444590228946
322,0,0,0.039062069389445946
323,1,0,0.0008654834874063447
324,0,0,0.009186754784052717
325,0,0,0.033695208604627616
326,0,0,0.18238792585897814
327,2,1,0.7256475684089996
328,0,0,0.03551451018158608
329,0,0,0.0008669364264738243
330,0,0,0.0003780530429000505
331,1,0,0.00022641527750706214
332,0,0,0.0083899090388734
333,0,0,0.06656314321710693
334,0,0,0.3586205435710149
335,2,1,0.8395608090117367
336,0,0,0.042008332361907263
337,0,0,0.0008411086878409406
338,0,0,0.00027752286055234086
339,1,0,0.000170831152621664
340,0,0,0.006093052032375834
341,0,0,0.04188357076952329
342,0,0,0.2469911000631322
343,2,1,0.7544256117544543
344,0,0,0.03761702923433707
345,1,0,0.000866144511180568
346,0,0,0.009815721452381859
347,0,0,0.0371880516367469
348,0,0,0.20028307591667596
349,2,1,0.7486940116098026
350,0,0,0.036663043573888034
351,0,0,0.0008759126489020802
352,0,0,0.0003669356123700862
353,1,0,0.00021623684514393655
354,0,0,0.008075916101549695
355,0,0,0.06249051550822538
356,0,0,0.3422139515762448
357,0,0,0.8301280485810215
358,0,0,0.9731293413654601
359,0,0,0.9651751048744039
360,0,0,0.9046604563467204
361,1,0,0.7127193025520733
362,0,0,0.8700830338462843
363,0,0,0.8482034361301521
364,0,0,0.8402845901436092
365,2,1,0.6659473201398803
366,0,0,0.009064503853539439
367,0,0,6.685490034839955e-05
368,0,0,3.858684080201248e-05
