,input,expected_output,network_output
0,1.0,0,0.012835726954793989
1,0.0,0,0.061866488308070365
2,0.0,0,0.06546260270374618
3,2.0,1,0.12561474527995709
4,0.0,0,0.00974796015696351
5,0.0,0,0.012246738045806338
6,0.0,0,0.016813441948080567
7,0.0,0,0.0213827139446255
8,1.0,0,0.025823693465160336
9,0.0,0,0.20653897746912112
10,0.0,0,0.5343227215824045
11,2.0,1,0.9665934614079451
12,0.0,0,0.17794064820523298
13,0.0,0,0.027908620259936505
14,0.0,0,0.019109448278838634
15,0.0,0,0.01812453579452844
16,1.0,0,0.017104442204965348
17,0.0,0,0.09313555656639998
18,0.0,0,0.13981757688519633
19,2.0,1,0.41987460550921585
20,0.0,0,0.02300935999449362
21,0.0,0,0.012821626566641781
22,0.0,0,0.015989812289145488
23,0.0,0,0.018959907857043864
24,1.0,0,0.02120330992716638
25,0.0,0,0.14675065501717616
26,0.0,0,0.3329301846004518
27,2.0,1,0.8712346205283721
28,0.0,0,0.09926610990482423
29,0.0,0,0.017899495212687928
30,1.0,0,0.016407348238816948
31,0.0,0,0.09940885794213702
32,0.0,0,0.1832308971498655
33,2.0,1,0.5996623579562425
34,0.0,0,0.03949270688650386
35,0.0,0,0.013721699151194257
36,0.0,0,0.015871442210736962
37,1.0,0,0.018177866567040252
38,0.0,0,0.11960329938134096
39,0.0,0,0.2489353881536209
40,2.0,1,0.7608848410416875
41,0.0,0,0.06597509510628481
42,0.0,0,0.015332213431192617
43,0.0,0,0.01594694729995132
44,0.0,0,0.017565160229590645
45,1.0,0,0.018360440076256607
46,0.0,0,0.11170506548670957
47,0.0,0,0.2085683367325081
48,2.0,1,0.6625605772940283
49,0.0,0,0.04787216130012777
50,0.0,0,0.014186886108772345
51,0.0,0,0.015853846326913848
52,1.0,0,0.017914760486683667
53,0.0,0,0.11554033467410026
54,0.0,0,0.23375878977873144
55,2.0,1,0.7299353941195292
56,0.0,0,0.05950239978329748
57,0.0,0,0.014908073794912165
58,0.0,0,0.015902021482974874
59,0.0,0,0.01766815439106719
60,1.0,0,0.018598908853958387
61,0.0,0,0.11457310596550584
62,0.0,0,0.21859970608965765
63,2.0,1,0.6885738909602461
64,0.0,0,0.05197339316603701
65,0.0,0,0.014431984547992412
66,0.0,0,0.015864932045208675
67,0.0,0,0.017819733492415793
68,1.0,0,0.018931784515163235
