,input,expected_output,network_output
0,1.0,0,0.04240877367499573
1,0.0,0,0.11776403627167636
2,0.0,0,0.2750651159033478
3,0.0,0,0.6713711232715538
4,0.0,0,0.7928548637507815
5,2.0,1,0.7785058822519283
6,0.0,0,0.04063065458439738
7,0.0,0,0.029995246853585705
8,1.0,0,0.03219545893456141
9,0.0,0,0.048032527165807214
10,0.0,0,0.05472032894384693
11,0.0,0,0.10105214571410234
12,0.0,0,0.3379058847183681
13,2.0,1,0.7163580672181692
14,1.0,0,0.057934474494057656
15,0.0,0,0.03426748905244762
16,0.0,0,0.043728557565927875
17,0.0,0,0.07994366103955218
18,0.0,0,0.2598140281131685
19,2.0,1,0.6719937905999133
20,0.0,0,0.05778124729241267
21,0.0,0,0.03061722881578573
22,1.0,0,0.0327816284465402
23,0.0,0,0.052838875787063026
24,0.0,0,0.06313209884437686
25,0.0,0,0.1329288997959839
26,0.0,0,0.4626257206030009
27,2.0,1,0.7604871162824063
28,0.0,0,0.056560234025089
29,1.0,0,0.03034287429371315
30,0.0,0,0.04606145791414546
31,0.0,0,0.05424364247165443
32,0.0,0,0.1032000282311355
33,0.0,0,0.35375467939070965
34,2.0,1,0.7257270408546188
35,0.0,0,0.05883336416370852
36,1.0,0,0.030470996018918565
37,0.0,0,0.04648166513455277
38,0.0,0,0.055043072712281226
39,0.0,0,0.1064756712118366
40,0.0,0,0.3690662032344233
41,2.0,1,0.7325998626356308
42,1.0,0,0.05900593157796682
43,0.0,0,0.03422235090200558
44,0.0,0,0.043807877433259534
45,0.0,0,0.08063125588908529
46,0.0,0,0.26410247148177257
47,2.0,1,0.6758231628942901
48,1.0,0,0.05807848739429606
49,0.0,0,0.03503084521193605
50,0.0,0,0.04448634966510707
51,0.0,0,0.0827426966663707
52,0.0,0,0.27615318496224894
53,2.0,1,0.6863582308315301
54,0.0,0,0.05915632705700291
55,0.0,0,0.030611032798658372
56,1.0,0,0.03277782656528075
57,0.0,0,0.05287190240177886
58,0.0,0,0.0632030657788115
59,0.0,0,0.13320677395642044
60,0.0,0,0.4634791638273564
61,2.0,1,0.7606739971562595
62,1.0,0,0.05652279609788807
63,0.0,0,0.03360335128424764
64,0.0,0,0.04341537843591303
65,0.0,0,0.07920014945136791
66,0.0,0,0.25536693699257307
67,2.0,1,0.6673037690387459
68,0.0,0,0.05718488872981959
69,1.0,0,0.03061237478236183
70,0.0,0,0.0472668126707881
71,0.0,0,0.05629295149876587
72,0.0,0,0.11127708996023444
73,0.0,0,0.39011124737666775
74,2.0,1,0.7408867112072018
