,input,expected_output,network_output
0,1.0,0,0.0035030676173877623
1,0.0,0,0.009723583315519459
2,0.0,0,0.012185741689986242
3,0.0,0,0.01782141680033628
4,2.0,1,0.028957309531254628
5,0.0,0,0.0025185533335934283
6,1.0,0,0.0037922619991134746
7,0.0,0,0.017322140230329422
8,0.0,0,0.041065890248144346
9,0.0,0,0.1679905471864652
10,2.0,1,0.679011970716669
11,0.0,0,0.00415292895011296
12,1.0,0,0.004561328457910988
13,0.0,0,0.028099733472923643
14,0.0,0,0.09678781028137293
15,0.0,0,0.5014256289390482
16,2.0,1,0.9142238364082366
17,0.0,0,0.007321210090656219
18,0.0,0,0.004696885347153346
19,1.0,0,0.004780787601800972
20,0.0,0,0.02108339482209191
21,0.0,0,0.04677925791429327
22,0.0,0,0.17619491212978253
23,2.0,1,0.6647163977718858
24,0.0,0,0.003959144891951571
25,1.0,0,0.00441569081671655
26,0.0,0,0.02502244933081071
27,0.0,0,0.07668581148354749
28,0.0,0,0.39017250950211685
29,2.0,1,0.8815577999003922
30,0.0,0,0.006363726968372058
31,0.0,0,0.004656811380533
32,1.0,0,0.004870606925532251
33,0.0,0,0.02283069205157845
34,0.0,0,0.055264492964902906
35,0.0,0,0.23143569618457974
36,2.0,1,0.7590924070467047
37,0.0,0,0.004548530680912717
38,1.0,0,0.004475653618050004
39,0.0,0,0.02438191462543635
40,0.0,0,0.07005682175141216
41,0.0,0,0.3411043954419104
42,2.0,1,0.8569777149500617
43,0.0,0,0.0057931089929694896
44,0.0,0,0.004599173632426913
45,0.0,0,0.004873496914523721
46,1.0,0,0.0047918609940268584
47,0.0,0,0.021953455485448234
48,0.0,0,0.05181303913475762
49,0.0,0,0.21129389202336807
50,2.0,1,0.732422157324755
51,0.0,0,0.0043607328758118805
52,1.0,0,0.004468006997372166
53,0.0,0,0.0248183102239195
54,0.0,0,0.07349187963196596
55,0.0,0,0.3651814473993972
56,2.0,1,0.8696354989956544
57,0.0,0,0.0060562690355039864
58,0.0,0,0.004622351046849064
59,1.0,0,0.004865796007108684
60,0.0,0,0.02294964548680396
61,0.0,0,0.056062351596267226
62,0.0,0,0.23718382017815784
63,2.0,1,0.76671099943893
64,0.0,0,0.004614320909022467
65,0.0,0,0.004483268479111831
66,1.0,0,0.004912599942028559
67,0.0,0,0.02480647942258729
68,0.0,0,0.0669286980469019
69,0.0,0,0.3109886967003665
70,2.0,1,0.8359258630991844
71,0.0,0,0.005403489678165463
72,0.0,0,0.0045536570530784245
73,0.0,0,0.004868257924155834
74,1.0,0,0.004807388493577232
75,0.0,0,0.022249211078536217
76,0.0,0,0.053277801229808616
77,0.0,0,0.2209687338147164
78,2.0,1,0.746820257975037
79,0.0,0,0.004465141853751391
80,1.0,0,0.00447810638894358
81,0.0,0,0.0247123407273313
82,0.0,0,0.07240704633914098
83,0.0,0,0.35714661418956134
84,2.0,1,0.8655023233548855
85,0.0,0,0.005963146095893376
86,0.0,0,0.0046129280829911015
87,0.0,0,0.004866303435448797
88,1.0,0,0.004775233036161055
89,0.0,0,0.021703324394200963
90,0.0,0,0.05064504979967382
91,0.0,0,0.2037432419107748
92,2.0,1,0.7203475864240972
93,0.0,0,0.004280348939786851
94,1.0,0,0.004460462823178065
95,0.0,0,0.024914961212948054
96,0.0,0,0.0744459830797987
97,0.0,0,0.3721336212712026
98,2.0,1,0.8730252423895074
99,0.0,0,0.006135793141429872
