,input,expected_output,network_output
0,1.0,0,0.001757772252662629
1,0.0,0,0.018664275524833046
2,2.0,1,0.03733466152111955
3,0.0,0,0.002116871635386334
4,0.0,0,0.0025465438777220995
5,0.0,0,0.004806488736378556
6,1.0,0,0.010508778908865134
7,0.0,0,0.5203169461322832
8,2.0,1,0.8943884653670487
9,0.0,0,0.0654596283826192
10,0.0,0,0.01593513010129754
11,0.0,0,0.00551377275691762
12,1.0,0,0.005205330647497433
13,0.0,0,0.19663807396176217
14,2.0,1,0.6627153922944032
15,0.0,0,0.015022968977151952
16,0.0,0,0.006074235419274358
17,0.0,0,0.004220148432697674
18,0.0,0,0.006081867535684639
19,1.0,0,0.009492412542974797
20,0.0,0,0.39143904336168095
21,2.0,1,0.8278425115076455
22,0.0,0,0.03243616263885096
23,0.0,0,0.008960026028934304
24,0.0,0,0.004196906136797571
25,0.0,0,0.004749908770310696
26,0.0,0,0.006490935561901521
27,1.0,0,0.008020546847938282
28,0.0,0,0.25925349916404644
29,2.0,1,0.6780483654302989
30,0.0,0,0.01372427282224727
31,0.0,0,0.005178419283693898
32,0.0,0,0.003544507300785719
33,1.0,0,0.004804059060839148
34,0.0,0,0.21185362374885872
35,2.0,1,0.7003092754679869
36,0.0,0,0.0176940809988457
37,0.0,0,0.0067019421381974776
38,0.0,0,0.004293396803549702
39,0.0,0,0.005910850661759375
40,1.0,0,0.008993877238083292
41,0.0,0,0.3710907480174576
42,2.0,1,0.8160577088607067
43,0.0,0,0.029872548750286325
44,0.0,0,0.008505861357718742
45,0.0,0,0.004137777582619222
46,0.0,0,0.004782547150881007
47,1.0,0,0.006597123976999024
48,0.0,0,0.26307884608729704
49,2.0,1,0.7267508811572326
50,0.0,0,0.018239142813120172
51,0.0,0,0.006375620808502733
52,0.0,0,0.003901647834167966
53,1.0,0,0.005104410954150754
54,0.0,0,0.2272307158804509
55,2.0,1,0.7199563048121741
56,0.0,0,0.019356850427884435
57,0.0,0,0.007057056198372999
58,0.0,0,0.004331737617406346
59,1.0,0,0.005829527058434588
60,0.0,0,0.27312788070255606
61,2.0,1,0.7696650865415988
62,0.0,0,0.024957040715701595
63,0.0,0,0.008218551346751415
64,0.0,0,0.00447347609705211
65,0.0,0,0.005629730543876413
66,0.0,0,0.008206133472660339
67,1.0,0,0.010654552557291965
68,0.0,0,0.34438533486621786
69,2.0,1,0.763508705063437
70,0.0,0,0.020010272684828724
71,0.0,0,0.006255937428782541
72,0.0,0,0.0035996451600653276
73,0.0,0,0.004462328335120355
74,0.0,0,0.006273164322961345
75,1.0,0,0.007781669944785686
76,0.0,0,0.25037272141266226
77,2.0,1,0.6657557788920616
78,0.0,0,0.013073890732730516
79,0.0,0,0.005054061145799108
80,0.0,0,0.003537287514348867
81,0.0,0,0.0048459998405185785
82,0.0,0,0.007129362593203734
83,1.0,0,0.009042647922946729
84,0.0,0,0.29223080740726515
85,2.0,1,0.7140909022074594
86,0.0,0,0.015808587812908
87,0.0,0,0.005528447077025642
88,0.0,0,0.003537231299791476
89,0.0,0,0.004623552017070406
90,0.0,0,0.006651287575984887
91,1.0,0,0.008337163006611688
92,0.0,0,0.26928302240875895
93,2.0,1,0.6889635854332008
94,0.0,0,0.01427446862318374
95,0.0,0,0.00526475973495353
96,0.0,0,0.003533482820962368
97,0.0,0,0.004735262869015529
98,1.0,0,0.006892547142326133
99,0.0,0,0.28007279968790944
100,2.0,1,0.7443344235489321
101,0.0,0,0.0197793486770027
102,0.0,0,0.0066512680572773444
103,0.0,0,0.003913292280169671
104,1.0,0,0.005006286398912438
105,0.0,0,0.2189222641716704
106,2.0,1,0.7084161399630864
107,0.0,0,0.018357841614433105
108,0.0,0,0.006841967708153386
109,0.0,0,0.004309092396078835
110,1.0,0,0.005882222451327011
111,0.0,0,0.2777443047449117
112,2.0,1,0.7741433926280076
113,0.0,0,0.02559586759334856
114,0.0,0,0.008350052096270771
115,0.0,0,0.004491130311471293
116,1.0,0,0.005613102670642999
117,0.0,0,0.2524044615147651
118,2.0,1,0.7474045228226354
119,0.0,0,0.022147877380563365
120,0.0,0,0.007633529547951678
121,0.0,0,0.0043974877809222195
122,1.0,0,0.005716852145761939
123,0.0,0,0.2629339536668378
124,2.0,1,0.7592634685395911
125,0.0,0,0.023579737424240757
126,0.0,0,0.00793479705395888
127,0.0,0,0.004437146518641552
128,0.0,0,0.005671731480987845
129,1.0,0,0.008330960267727347
130,0.0,0,0.34339326057557734
131,2.0,1,0.798342500839313
132,0.0,0,0.02668398746481441
133,0.0,0,0.007944949039766946
134,0.0,0,0.0040725903154735284
135,0.0,0,0.004846252989650452
136,1.0,0,0.0067747300710714435
137,0.0,0,0.2724425026711961
138,2.0,1,0.7370519456375354
139,0.0,0,0.01914254502927007
140,0.0,0,0.006547321178997362
141,0.0,0,0.003916020954729057
142,0.0,0,0.005060690257055525
143,1.0,0,0.00734351704874164
144,0.0,0,0.3007156109446506
145,2.0,1,0.7643806772620447
146,0.0,0,0.02194852135748627
147,0.0,0,0.007067517832564731
148,0.0,0,0.003963736265572191
149,0.0,0,0.004947167980605612
150,0.0,0,0.007061755393303507
151,1.0,0,0.008917523765881973
152,0.0,0,0.28981686688957103
153,2.0,1,0.7128925557583945
154,0.0,0,0.01578335383579131
155,0.0,0,0.005536361615836656
156,0.0,0,0.0035484293243104935
157,1.0,0,0.004646868028752511
158,0.0,0,0.1988906579081207
159,2.0,1,0.6800570853076121
160,0.0,0,0.016236816592999467
161,0.0,0,0.006384961624109432
162,0.0,0,0.004268400347995664
163,1.0,0,0.006016163090767309
164,0.0,0,0.2887916632872399
165,2.0,1,0.7841699780390479
166,0.0,0,0.02712440600305551
167,0.0,0,0.0086606371099083
168,0.0,0,0.004532246581858989
169,1.0,0,0.005574595975119601
170,0.0,0,0.24833763843329149
171,2.0,1,0.7425495156281974
172,0.0,0,0.021602833477053687
173,0.0,0,0.007518013627929251
174,0.0,0,0.004382597808370426
175,0.0,0,0.005735781616557013
176,1.0,0,0.008523296175897064
177,0.0,0,0.35193322229900087
178,2.0,1,0.8041819459986573
179,0.0,0,0.02767354994328695
180,0.0,0,0.00812204170867735
181,0.0,0,0.0040938166894590525
182,0.0,0,0.00482650316191951
183,1.0,0,0.006718647901807536
184,0.0,0,0.26950060815876575
185,2.0,1,0.7338860012491731
186,0.0,0,0.018856883398739692
187,0.0,0,0.0064932508671646785
188,0.0,0,0.003911396243778757
189,1.0,0,0.005074057470471484
190,0.0,0,0.2245307527424195
191,2.0,1,0.7162751880913338
192,0.0,0,0.019029302092578637
193,0.0,0,0.006986930096595686
194,0.0,0,0.00432439219481613
195,1.0,0,0.0058466337394950515
196,0.0,0,0.2746308904580505
197,2.0,1,0.7711401938576493
198,0.0,0,0.02516456196649141
199,0.0,0,0.008261350668952222
200,0.0,0,0.004479223585510227
201,1.0,0,0.005624266765448248
202,0.0,0,0.25358440263355103
203,2.0,1,0.7487863464853084
204,0.0,0,0.022307204388824213
205,0.0,0,0.0076672232903001155
206,0.0,0,0.004401871690094502
207,0.0,0,0.0057115178265771315
208,0.0,0,0.0084512008405083
209,1.0,0,0.011069800434055452
210,0.0,0,0.3562021460002193
211,2.0,1,0.7725565858875184
212,0.0,0,0.020965049586230133
213,0.0,0,0.006411479167854342
214,0.0,0,0.0036118306807471287
215,1.0,0,0.004428677434196022
216,0.0,0,0.17938892107687962
217,2.0,1,0.6446736997426111
218,0.0,0,0.01411896186016607
219,0.0,0,0.005912836092567357
220,0.0,0,0.004242272317711164
221,1.0,0,0.006214462059807025
222,0.0,0,0.3041804088566925
223,2.0,1,0.7969126394917876
224,0.0,0,0.029314832107722913
225,0.0,0,0.009102708250718902
226,0.0,0,0.004593082307451417
227,1.0,0,0.005529778284736693
228,0.0,0,0.24328440428273979
229,2.0,1,0.7362574613712416
230,0.0,0,0.020928481120633915
231,0.0,0,0.007374262511784726
232,0.0,0,0.004364303685120139
233,0.0,0,0.0057606676404121674
234,1.0,0,0.008596499701823806
235,0.0,0,0.3551191500605199
236,2.0,1,0.8062880085690515
237,0.0,0,0.028046456388809787
238,0.0,0,0.008188492311292286
239,0.0,0,0.004101849821421757
240,0.0,0,0.0048194713427929525
241,1.0,0,0.006698442414024226
242,0.0,0,0.26843424367495067
243,2.0,1,0.7327224067472587
244,0.0,0,0.01875373261856925
245,0.0,0,0.006473680374171633
246,0.0,0,0.003909748027250408
247,1.0,0,0.005078995805160507
248,0.0,0,0.2249720184229191
249,2.0,1,0.716882680744797
250,0.0,0,0.01908272609829723
251,0.0,0,0.006998386084873026
252,0.0,0,0.0043255839083791246
253,1.0,0,0.005843802380728937
254,0.0,0,0.27438289191206133
255,2.0,1,0.7708979674689076
256,0.0,0,0.02513028577796575
257,0.0,0,0.008254285775928969
258,0.0,0,0.004478273888974985
259,1.0,0,0.0056251625082047165
260,0.0,0,0.2536789178343258
261,2.0,1,0.7488964817732386
262,0.0,0,0.022319984088286775
263,0.0,0,0.007669924032213238
264,0.0,0,0.004402223587797713
265,0.0,0,0.005711093193274055
266,1.0,0,0.008449930515899758
267,0.0,0,0.3487059419533046
268,2.0,1,0.8020093611323422
269,0.0,0,0.02729795838177393
270,0.0,0,0.008054963846361868
271,0.0,0,0.004085747634645738
272,0.0,0,0.004833813568907801
273,0.0,0,0.006739510906929091
274,1.0,0,0.00841350091380873
275,0.0,0,0.2730510148969427
276,2.0,1,0.6946204004145748
277,0.0,0,0.014644857844504599
278,0.0,0,0.005340666727726989
279,0.0,0,0.003545167338937358
280,1.0,0,0.0047286204209792265
281,0.0,0,0.2056751602565289
282,2.0,1,0.6909359706126532
283,0.0,0,0.016993937209085198
284,0.0,0,0.006550372277221616
285,0.0,0,0.004280847960572764
286,0.0,0,0.005958938103905043
287,0.0,0,0.009118655031084204
288,1.0,0,0.01216942870764385
289,0.0,0,0.3846540491789819
290,2.0,1,0.7920169503682379
291,0.0,0,0.023294501623429678
292,0.0,0,0.006781259199538253
293,0.0,0,0.0036414961194237675
294,1.0,0,0.0043552782372130415
295,0.0,0,0.1726202689044376
296,2.0,1,0.6308279528825405
297,0.0,0,0.013407200568911589
298,0.0,0,0.005750430668457605
299,0.0,0,0.004236853799759684
300,1.0,0,0.006295964279111487
301,0.0,0,0.31026098061757446
302,2.0,1,0.8015860568647323
303,0.0,0,0.030195394268949058
304,0.0,0,0.009278945406037685
305,0.0,0,0.0046175538021817055
306,1.0,0,0.005513766413472473
307,0.0,0,0.24141388802859937
308,2.0,1,0.7338567602445099
309,0.0,0,0.020680189161203632
310,0.0,0,0.007321113223825037
311,0.0,0,0.004357613551544311
312,0.0,0,0.005770260239170895
313,0.0,0,0.00862453120840535
314,1.0,0,0.011364246566990486
315,0.0,0,0.3643080269162161
316,2.0,1,0.7784605245362108
317,0.0,0,0.0216320317714596
318,0.0,0,0.006519273622491569
319,0.0,0,0.003620721935263796
320,1.0,0,0.004407077219441234
321,0.0,0,0.17739038026898218
322,2.0,1,0.6406701733031676
323,0.0,0,0.013907136116618887
324,0.0,0,0.005864692999000154
325,0.0,0,0.004240427407111717
326,0.0,0,0.00623777051099208
327,0.0,0,0.00982828363519535
328,1.0,0,0.013365539810976903
329,0.0,0,0.41309421856258904
330,2.0,1,0.8092564469657946
331,0.0,0,0.025792961805128096
332,0.0,0,0.007173899379496949
333,0.0,0,0.0036786869452224784
334,0.0,0,0.004296076127786223
335,0.0,0,0.005881384454182725
336,1.0,0,0.007203535749290054
337,0.0,0,0.2294485559928111
338,0.0,0,0.6365515653290962
339,0.0,0,0.913409855372912
340,0.0,0,0.947844930375691
341,0.0,0,0.9404062892482029
342,0.0,0,0.8872022020028455
343,0.0,0,0.6497195731615462
344,1.0,0,0.20815382132531512
345,0.0,0,0.41720613192622535
346,2.0,1,0.30380104109023687
347,0.0,0,0.002807975171743721
348,0.0,0,0.0023792537295085716
349,0.0,0,0.002817727300943007
350,0.0,0,0.004692409934822034
351,0.0,0,0.0075504859565425995
