,trial,prior_node,posterior_node,weight
0,0,6357,0,0.0
1,0,28276,0,0.0
2,0,28276,6357,0.0
3,0,6357,6357,0.0
4,0,-1,6357,0.0
5,0,-2,27319,0.0
6,0,27319,27319,0.0
7,0,-1,28276,0.0
8,0,65476,28276,0.0
9,0,28276,65476,0.0
10,1,6357,0,0.0
11,1,28276,0,0.0
12,1,28276,6357,0.0
13,1,6357,6357,0.0
14,1,-1,6357,0.0
15,1,-2,27319,0.0
16,1,27319,27319,0.0
17,1,-1,28276,0.0
18,1,65476,28276,0.0
19,1,28276,65476,0.0
20,2,6357,0,0.0
21,2,28276,0,0.0
22,2,28276,6357,0.0
23,2,6357,6357,0.0
24,2,-1,6357,0.0
25,2,-2,27319,0.0
26,2,27319,27319,0.0
27,2,-1,28276,0.0
28,2,65476,28276,0.0
29,2,28276,65476,0.0
30,3,6357,0,0.0
31,3,28276,0,0.0
32,3,28276,6357,0.0
33,3,6357,6357,0.0
34,3,-1,6357,0.0
35,3,-2,27319,0.0
36,3,27319,27319,0.0
37,3,-1,28276,0.0
38,3,65476,28276,0.0
39,3,28276,65476,0.0
40,4,6357,0,0.0
41,4,28276,0,0.0
42,4,28276,6357,0.0
43,4,6357,6357,0.0
44,4,-1,6357,0.0
45,4,-2,27319,0.0
46,4,27319,27319,0.0
47,4,-1,28276,0.0
48,4,65476,28276,0.0
49,4,28276,65476,0.0
50,5,6357,0,0.0
51,5,28276,0,0.0
52,5,28276,6357,0.0
53,5,6357,6357,0.0
54,5,-1,6357,0.0
55,5,-2,27319,0.0
56,5,27319,27319,0.0
57,5,-1,28276,0.0
58,5,65476,28276,0.0
59,5,28276,65476,0.0
60,6,6357,0,0.0
61,6,28276,0,0.0
62,6,28276,6357,0.0
63,6,6357,6357,0.0
64,6,-1,6357,0.0
65,6,-2,27319,0.0
66,6,27319,27319,0.0
67,6,-1,28276,0.0
68,6,65476,28276,0.0
69,6,28276,65476,0.0
70,7,6357,0,0.0
71,7,28276,0,0.0
72,7,28276,6357,0.0
73,7,6357,6357,0.0
74,7,-1,6357,0.0
75,7,-2,27319,0.0
76,7,27319,27319,0.0
77,7,-1,28276,0.0
78,7,65476,28276,0.0
79,7,28276,65476,0.0
80,8,6357,0,0.0
81,8,28276,0,0.0
82,8,28276,6357,0.0
83,8,6357,6357,0.0
84,8,-1,6357,0.0
85,8,-2,27319,0.0
86,8,27319,27319,0.0
87,8,-1,28276,0.0
88,8,65476,28276,0.0
89,8,28276,65476,0.0
90,9,6357,0,0.0
91,9,28276,0,0.0
92,9,28276,6357,0.0
93,9,6357,6357,0.0
94,9,-1,6357,0.0
95,9,-2,27319,0.0
96,9,27319,27319,0.0
97,9,-1,28276,0.0
98,9,65476,28276,0.0
99,9,28276,65476,0.0
100,10,6357,0,0.0
101,10,28276,0,0.0
102,10,28276,6357,0.0
103,10,6357,6357,0.0
104,10,-1,6357,0.0
105,10,-2,27319,0.0
106,10,27319,27319,0.0
107,10,-1,28276,0.0
108,10,65476,28276,0.0
109,10,28276,65476,0.0
110,11,6357,0,0.0
111,11,28276,0,0.0
112,11,28276,6357,0.0
113,11,6357,6357,0.0
114,11,-1,6357,0.0
115,11,-2,27319,0.0
116,11,27319,27319,0.0
117,11,-1,28276,0.0
118,11,65476,28276,0.0
119,11,28276,65476,0.0
120,12,6357,0,0.0
121,12,28276,0,0.0
122,12,28276,6357,0.0
123,12,6357,6357,0.0
124,12,-1,6357,0.0
125,12,-2,27319,0.0
126,12,27319,27319,0.0
127,12,-1,28276,0.0
128,12,65476,28276,0.0
129,12,28276,65476,0.0
130,13,6357,0,0.0
131,13,28276,0,0.0
132,13,28276,6357,0.0
133,13,6357,6357,0.0
134,13,-1,6357,0.0
135,13,-2,27319,0.0
136,13,27319,27319,0.0
137,13,-1,28276,0.0
138,13,65476,28276,0.0
139,13,28276,65476,0.0
140,14,6357,0,0.0
141,14,28276,0,0.0
142,14,28276,6357,0.0
143,14,6357,6357,0.0
144,14,-1,6357,0.0
145,14,-2,27319,0.0
146,14,27319,27319,0.0
147,14,-1,28276,0.0
148,14,65476,28276,0.0
149,14,28276,65476,0.0
150,15,6357,0,0.0
151,15,28276,0,0.0
152,15,28276,6357,0.0
153,15,6357,6357,0.0
154,15,-1,6357,0.0
155,15,-2,27319,0.0
156,15,27319,27319,0.0
157,15,-1,28276,0.0
158,15,65476,28276,0.0
159,15,28276,65476,0.0
160,16,6357,0,0.0
161,16,28276,0,0.0
162,16,28276,6357,0.0
163,16,6357,6357,0.0
164,16,-1,6357,0.0
165,16,-2,27319,0.0
166,16,27319,27319,0.0
167,16,-1,28276,0.0
168,16,65476,28276,0.0
169,16,28276,65476,0.0
170,17,6357,0,0.0
171,17,28276,0,0.0
172,17,28276,6357,0.0
173,17,6357,6357,0.0
174,17,-1,6357,0.0
175,17,-2,27319,0.0
176,17,27319,27319,0.0
177,17,-1,28276,0.0
178,17,65476,28276,0.0
179,17,28276,65476,0.0
180,18,6357,0,0.0
181,18,28276,0,0.0
182,18,28276,6357,0.0
183,18,6357,6357,0.0
184,18,-1,6357,0.0
185,18,-2,27319,0.0
186,18,27319,27319,0.0
187,18,-1,28276,0.0
188,18,65476,28276,0.0
189,18,28276,65476,0.0
190,19,6357,0,0.0
191,19,28276,0,0.0
192,19,28276,6357,0.0
193,19,6357,6357,0.0
194,19,-1,6357,0.0
195,19,-2,27319,0.0
196,19,27319,27319,0.0
197,19,-1,28276,0.0
198,19,65476,28276,0.0
199,19,28276,65476,0.0
200,20,6357,0,0.0
201,20,28276,0,0.0
202,20,28276,6357,0.0
203,20,6357,6357,0.0
204,20,-1,6357,0.0
205,20,-2,27319,0.0
206,20,27319,27319,0.0
207,20,-1,28276,0.0
208,20,65476,28276,0.0
209,20,28276,65476,0.0
210,21,6357,0,0.0
211,21,28276,0,0.0
212,21,28276,6357,0.0
213,21,6357,6357,0.0
214,21,-1,6357,0.0
215,21,-2,27319,0.0
216,21,27319,27319,0.0
217,21,-1,28276,0.0
218,21,65476,28276,0.0
219,21,28276,65476,0.0
220,22,6357,0,0.0
221,22,28276,0,0.0
222,22,28276,6357,0.0
223,22,6357,6357,0.0
224,22,-1,6357,0.0
225,22,-2,27319,0.0
226,22,27319,27319,0.0
227,22,-1,28276,0.0
228,22,65476,28276,0.0
229,22,28276,65476,0.0
230,23,6357,0,0.0
231,23,28276,0,0.0
232,23,28276,6357,0.0
233,23,6357,6357,0.0
234,23,-1,6357,0.0
235,23,-2,27319,0.0
236,23,27319,27319,0.0
237,23,-1,28276,0.0
238,23,65476,28276,0.0
239,23,28276,65476,0.0
240,24,6357,0,0.0
241,24,28276,0,0.0
242,24,28276,6357,0.0
243,24,6357,6357,0.0
244,24,-1,6357,0.0
245,24,-2,27319,0.0
246,24,27319,27319,0.0
247,24,-1,28276,0.0
248,24,65476,28276,0.0
249,24,28276,65476,0.0
250,25,6357,0,0.0
251,25,28276,0,0.0
252,25,28276,6357,0.0
253,25,6357,6357,0.0
254,25,-1,6357,0.0
255,25,-2,27319,0.0
256,25,27319,27319,0.0
257,25,-1,28276,0.0
258,25,65476,28276,0.0
259,25,28276,65476,0.0
260,26,6357,0,0.0
261,26,28276,0,0.0
262,26,28276,6357,0.0
263,26,6357,6357,0.0
264,26,-1,6357,0.0
265,26,-2,27319,0.0
266,26,27319,27319,0.0
267,26,-1,28276,0.0
268,26,65476,28276,0.0
269,26,28276,65476,0.0
270,27,6357,0,0.0
271,27,28276,0,0.0
272,27,28276,6357,0.0
273,27,6357,6357,0.0
274,27,-1,6357,0.0
275,27,-2,27319,0.0
276,27,27319,27319,0.0
277,27,-1,28276,0.0
278,27,65476,28276,0.0
279,27,28276,65476,0.0
280,28,6357,0,0.0
281,28,28276,0,0.0
282,28,28276,6357,0.0
283,28,6357,6357,0.0
284,28,-1,6357,0.0
285,28,-2,27319,0.0
286,28,27319,27319,0.0
287,28,-1,28276,0.0
288,28,65476,28276,0.0
289,28,28276,65476,0.0
290,29,6357,0,0.0
291,29,28276,0,0.0
292,29,28276,6357,0.0
293,29,6357,6357,0.0
294,29,-1,6357,0.0
295,29,-2,27319,0.0
296,29,27319,27319,0.0
297,29,-1,28276,0.0
298,29,65476,28276,0.0
299,29,28276,65476,0.0
300,30,6357,0,0.0
301,30,28276,0,0.0
302,30,28276,6357,0.0
303,30,6357,6357,0.0
304,30,-1,6357,0.0
305,30,-2,27319,0.0
306,30,27319,27319,0.0
307,30,-1,28276,0.0
308,30,65476,28276,0.0
309,30,28276,65476,0.0
310,31,6357,0,0.0
311,31,28276,0,0.0
312,31,28276,6357,0.0
313,31,6357,6357,0.0
314,31,-1,6357,0.0
315,31,-2,27319,0.0
316,31,27319,27319,0.0
317,31,-1,28276,0.0
318,31,65476,28276,0.0
319,31,28276,65476,0.0
320,32,6357,0,0.0
321,32,28276,0,0.0
322,32,28276,6357,0.0
323,32,6357,6357,0.0
324,32,-1,6357,0.0
325,32,-2,27319,0.0
326,32,27319,27319,0.0
327,32,-1,28276,0.0
328,32,65476,28276,0.0
329,32,28276,65476,0.0
330,33,6357,0,0.0
331,33,28276,0,0.0
332,33,28276,6357,0.0
333,33,6357,6357,0.0
334,33,-1,6357,0.0
335,33,-2,27319,0.0
336,33,27319,27319,0.0
337,33,-1,28276,0.0
