,input,expected_output,network_output
0,1.0,0,0.00528489461226052
1,0.0,0,0.009380382454684394
2,0.0,0,0.044817149850620235
3,0.0,0,0.2677246775685831
4,0.0,0,0.7503864217011734
5,2.0,1,0.9060292573399712
6,0.0,0,0.01241680908421571
7,0.0,0,0.0029309315911234804
8,0.0,0,0.0028386220129064284
9,0.0,0,0.0031018770444041794
10,0.0,0,0.0033344048797825953
11,0.0,0,0.003532554152921874
12,1.0,0,0.0037051667558618945
13,0.0,0,0.005899685726084924
14,0.0,0,0.023249697544502332
15,0.0,0,0.1172236254965855
16,0.0,0,0.4971230026944866
17,2.0,1,0.8278366148429185
18,0.0,0,0.007666029589231386
19,0.0,0,0.0028465463055845886
20,0.0,0,0.0029192850925349695
21,1.0,0,0.003192608298495573
22,0.0,0,0.0049977692595641
23,0.0,0,0.018672644453293554
24,0.0,0,0.08686253809454157
25,0.0,0,0.39215749124631805
26,2.0,1,0.7737359584421452
27,0.0,0,0.006069378424509156
28,0.0,0,0.0027984103899612173
29,0.0,0,0.002954941087545191
30,0.0,0,0.0032361370560936645
31,1.0,0,0.0034603506844667633
32,0.0,0,0.005458036129432014
33,0.0,0,0.02095578775016863
34,0.0,0,0.10178611087326361
35,0.0,0,0.447434758127323
36,2.0,1,0.8048527594193439
37,0.0,0,0.006891588362754346
38,0.0,0,0.002825158273463054
39,0.0,0,0.002935816149034558
40,0.0,0,0.0032124539914890576
41,0.0,0,0.0034376841928619333
42,0.0,0,0.0036254458247780763
43,1.0,0,0.00378848428003317
44,0.0,0,0.006060749368112587
45,0.0,0,0.02412311411684815
46,0.0,0,0.12326583996200585
47,0.0,0,0.5148962112547738
48,2.0,1,0.8352470274311586
49,0.0,0,0.00796082007405214
50,0.0,0,0.0028548613101422008
51,0.0,0,0.0029141820695768976
52,0.0,0,0.003186390604696713
53,0.0,0,0.0034129569362894327
54,0.0,0,0.003603045693101215
55,1.0,0,0.003768304830515976
56,0.0,0,0.006021480049400674
57,0.0,0,0.023908906487941976
58,0.0,0,0.12177967902451496
59,0.0,0,0.5106175220530984
60,2.0,1,0.8335020854858362
61,0.0,0,0.007889334605574758
62,0.0,0,0.002852882350810278
63,0.0,0,0.0029154082025598296
64,1.0,0,0.0031878790187464534
65,0.0,0,0.004988350725434968
66,0.0,0,0.018624055624354898
67,0.0,0,0.08653357799016845
68,0.0,0,0.3907895515370507
69,2.0,1,0.7728338147217241
70,0.0,0,0.006047429959366566
71,0.0,0,0.0027973381752394713
72,0.0,0,0.002955179749768825
73,1.0,0,0.0032365216504601007
74,0.0,0,0.005085996382183856
75,0.0,0,0.019130558421005476
76,0.0,0,0.08997861185936797
77,0.0,0,0.4049207189102674
78,2.0,1,0.7819036154852655
79,0.0,0,0.006276059418688087
80,1.0,0,0.002808333661487348
81,0.0,0,0.004205402274638393
82,0.0,0,0.015109092200273452
83,0.0,0,0.06641389231314646
84,0.0,0,0.31239195231722666
85,2.0,1,0.7214754673905446
86,0.0,0,0.005214205489235757
87,0.0,0,0.002810577988496174
88,0.0,0,0.003028559637775119
89,0.0,0,0.0033165083542087553
90,1.0,0,0.0035359518547808033
91,0.0,0,0.005602918828887855
92,0.0,0,0.021718907691199583
93,0.0,0,0.10700684525814655
94,0.0,0,0.46544865922142065
95,2.0,1,0.8138549766709099
96,0.0,0,0.007184166308425897
97,0.0,0,0.002835556407387991
98,0.0,0,0.002931243265903481
99,0.0,0,0.0032064631694683388
100,0.0,0,0.0034319133415623947
101,0.0,0,0.003620191016499295
102,1.0,0,0.003783739789237074
103,0.0,0,0.0060514958795149735
104,0.0,0,0.024072553874984654
105,0.0,0,0.12291474819278478
106,0.0,0,0.513890593572778
107,2.0,1,0.834838992112611
108,0.0,0,0.007943980924453394
109,0.0,0,0.00285439638367528
110,0.0,0,0.0029144694814015365
111,1.0,0,0.003186739391446033
112,0.0,0,0.004986085683287601
113,0.0,0,0.018612382596914456
114,0.0,0,0.08645461512624782
115,0.0,0,0.39046067160545195
116,2.0,1,0.7726161632239593
117,0.0,0,0.0060421608691984385
118,0.0,0,0.0027970804767048617
119,1.0,0,0.0029552374039523216
120,0.0,0,0.004660673792423751
121,0.0,0,0.017195803153749013
122,0.0,0,0.07824846737667586
123,0.0,0,0.35977012629342275
124,2.0,1,0.7541046859109329
125,0.0,0,0.005700532928846197
126,0.0,0,0.0027990763420694263
127,1.0,0,0.0029794000703995153
128,0.0,0,0.004717385451041243
129,0.0,0,0.01749519461937242
130,0.0,0,0.08032025487828809
131,0.0,0,0.3692579805768145
132,2.0,1,0.7612439090769474
133,1.0,0,0.005861009366623388
134,0.0,0,0.0050288939769634715
135,0.0,0,0.014256645184559928
136,0.0,0,0.057350003984007414
137,0.0,0,0.2716943887177841
138,2.0,1,0.6919780218445254
139,0.0,0,0.004972980433922294
140,1.0,0,0.002874258628573826
141,0.0,0,0.004617532085750541
142,0.0,0,0.01739498860672157
143,0.0,0,0.08304376653494772
144,0.0,0,0.3953117763037563
145,2.0,1,0.7875196329273878
146,0.0,0,0.0068246725549970105
147,0.0,0,0.0029245511220834805
148,1.0,0,0.003037937548183158
149,0.0,0,0.004821376879104406
150,0.0,0,0.018010969390997177
151,0.0,0,0.08375301456366442
152,0.0,0,0.38403749544565596
153,2.0,1,0.7714176168305077
154,0.0,0,0.006097741743045751
155,1.0,0,0.00282021730076487
156,0.0,0,0.004258153758612616
157,0.0,0,0.01539280092274657
158,0.0,0,0.06841441151489222
159,0.0,0,0.3229734762761212
160,2.0,1,0.731531510894802
161,1.0,0,0.005406541831137255
162,0.0,0,0.0050634845732388
163,0.0,0,0.0147257845736116
164,0.0,0,0.060889099383057935
165,0.0,0,0.29310134197851373
166,2.0,1,0.7167086760235191
167,0.0,0,0.005433314421680107
168,1.0,0,0.0029203867844002076
169,0.0,0,0.004643848050030171
170,0.0,0,0.017472016095484717
171,0.0,0,0.08341202161418419
172,0.0,0,0.3964489718543736
173,2.0,1,0.7879751531341497
174,0.0,0,0.006829975896119009
175,0.0,0,0.0029228819943647203
176,0.0,0,0.003035924878020311
177,0.0,0,0.003310775500993173
178,0.0,0,0.003527897398983076
179,1.0,0,0.0037065977358199335
180,0.0,0,0.005908165530383203
181,0.0,0,0.023306562030457906
182,0.0,0,0.11768228521355725
183,0.0,0,0.498695946688259
184,2.0,1,0.8285949900671843
185,0.0,0,0.0076999232558572295
