,input,expected_output,network_output
0,1.0,0,0.002864446269556585
1,0.0,0,0.008581247738703241
2,0.0,0,0.06517435710714271
3,0.0,0,0.1721332854441768
4,2.0,1,0.4468740165101444
5,0.0,0,0.0015488953585804134
6,0.0,0,0.001962816384702617
7,0.0,0,0.002815711710516508
8,0.0,0,0.0035243948412852764
9,0.0,0,0.00402482863170462
10,0.0,0,0.004316402039406643
11,0.0,0,0.004435380032087682
12,1.0,0,0.004431524684901448
13,0.0,0,0.017483676639359628
14,0.0,0,0.14166367134268434
15,0.0,0,0.32386150409535824
16,2.0,1,0.6310784735510122
17,0.0,0,0.0020579004073053254
18,0.0,0,0.00198471128642302
19,0.0,0,0.0028116026218978846
20,0.0,0,0.0035114757822060348
21,0.0,0,0.00400584921873732
22,0.0,0,0.0042939200226969525
23,0.0,0,0.004411878637891139
24,0.0,0,0.00440893180623
25,0.0,0,0.004331552762874175
26,0.0,0,0.00421614450603145
27,1.0,0,0.004087758866848044
28,0.0,0,0.01488262520206719
29,0.0,0,0.11692806893171608
30,0.0,0,0.27585133014471575
31,2.0,1,0.5840277644238319
32,0.0,0,0.0018882618903101093
33,0.0,0,0.001976459109384409
34,0.0,0,0.0028101761994775484
35,0.0,0,0.0035113094849642014
36,0.0,0,0.004006471034927909
37,0.0,0,0.004295093554318623
38,1.0,0,0.00441336014118968
39,0.0,0,0.01767876861357176
40,0.0,0,0.1451775229944675
41,0.0,0,0.331435435702241
42,2.0,1,0.6380933977571943
43,0.0,0,0.002087680221618709
44,0.0,0,0.0019869569249819394
45,0.0,0,0.002813340437563044
46,0.0,0,0.00351362069750356
47,0.0,0,0.004008290013270962
48,0.0,0,0.00429644737377664
49,0.0,0,0.0044143075905075605
50,0.0,0,0.004411137025104901
51,0.0,0,0.004333470504304107
52,1.0,0,0.004217758908971901
53,0.0,0,0.015758798790353305
54,0.0,0,0.12484952306199852
55,0.0,0,0.29127889409026664
56,2.0,1,0.6000221264415243
57,0.0,0,0.001941556731202817
58,0.0,0,0.001978902327508613
59,0.0,0,0.0028102817014624584
60,0.0,0,0.00351084728908645
61,0.0,0,0.004005638895763116
62,0.0,0,0.004294031405171338
63,0.0,0,0.004412205404161411
64,0.0,0,0.004409374023342022
65,0.0,0,0.004332033144295305
66,0.0,0,0.0042166119111431795
67,1.0,0,0.004088184330098056
68,0.0,0,0.01488526732739181
69,0.0,0,0.11695096377945435
70,0.0,0,0.27589565294235335
71,2.0,1,0.5840748512811307
72,0.0,0,0.0018884126365374195
73,0.0,0,0.001976465470218767
74,0.0,0,0.002810175400755609
75,0.0,0,0.0035113065855290355
76,1.0,0,0.004006466742663553
77,0.0,0,0.015974242030694013
78,0.0,0,0.13611998587187427
79,0.0,0,0.3188176642626944
80,2.0,1,0.6286067954408204
81,0.0,0,0.0020536146998250595
82,0.0,0,0.0019895482743905327
83,0.0,0,0.002820588560583692
84,0.0,0,0.0035241481760744076
85,0.0,0,0.004021048764208062
86,0.0,0,0.004310165317596493
87,0.0,0,0.004427829772891644
88,0.0,0,0.0044236377338459365
89,0.0,0,0.004344488990293008
90,0.0,0,0.004227131398843112
91,1.0,0,0.00409684597138405
92,0.0,0,0.014936902555532776
93,0.0,0,0.11738601180932183
94,0.0,0,0.276728746354211
95,2.0,1,0.5849543956914607
96,0.0,0,0.0018912251524455964
97,0.0,0,0.001976575205549093
98,0.0,0,0.002810144603233434
99,0.0,0,0.0035112302262106923
100,0.0,0,0.0040063600431284214
101,0.0,0,0.00429496500450187
102,0.0,0,0.004413227494948862
103,0.0,0,0.00441038468417102
104,0.0,0,0.0043329665075498985
105,1.0,0,0.0042174334499194355
106,0.0,0,0.015757053738848455
107,0.0,0,0.12483625413116614
108,0.0,0,0.2912549412037111
109,2.0,1,0.5999987473766565
110,0.0,0,0.0019414776716361868
111,0.0,0,0.001978900347212653
112,0.0,0,0.002810284429586793
113,0.0,0,0.0035108519982188073
114,0.0,0,0.004005644929886784
115,0.0,0,0.004294038093640642
116,0.0,0,0.00441221212623704
117,0.0,0,0.004409380321033766
118,0.0,0,0.004332038749243926
119,0.0,0,0.004216616713859842
120,1.0,0,0.004088188330093368
121,0.0,0,0.01488529127302737
122,0.0,0,0.11695116623384802
123,0.0,0,0.2758960413233633
124,2.0,1,0.5840752622329125
125,0.0,0,0.0018884139486442615
126,0.0,0,0.0019764655219669676
127,0.0,0,0.002810175387325161
128,0.0,0,0.00351130655119614
129,0.0,0,0.004006466694414435
130,0.0,0,0.004295088403197071
131,0.0,0,0.004413354751836257
132,1.0,0,0.004410505959349873
133,0.0,0,0.017339762420507596
134,0.0,0,0.14039612942214852
135,0.0,0,0.32153176328056965
136,2.0,1,0.6290146142574958
137,0.0,0,0.0020496882505831133
138,0.0,0,0.0019843829751530723
139,0.0,0,0.0028116456449601584
140,0.0,0,0.0035116185410939576
141,1.0,0,0.004006055763422121
142,0.0,0,0.015969363172129825
143,0.0,0,0.13606265326623299
144,0.0,0,0.3187022567083903
145,2.0,1,0.6285004681980544
146,0.0,0,0.002053185186065661
147,0.0,0,0.001989523614877072
148,0.0,0,0.0028205774942449235
149,0.0,0,0.0035241369416758933
150,1.0,0,0.004021037171348459
151,0.0,0,0.016077397585708045
152,0.0,0,0.13709303410277962
153,0.0,0,0.3206516672564745
154,2.0,1,0.6302464930799967
155,0.0,0,0.002060148846449554
156,0.0,0,0.0019898168055917874
157,0.0,0,0.002820566124412268
158,0.0,0,0.003524050779970601
159,0.0,0,0.004020903558310576
160,1.0,0,0.004309992601005727
161,0.0,0,0.01743449336251922
162,0.0,0,0.14569957009097728
163,0.0,0,0.33411124229499806
164,2.0,1,0.6410082624312307
165,0.0,0,0.00210169786455879
166,0.0,0,0.0019891124678996135
167,0.0,0,0.0028161268035445447
168,0.0,0,0.003517398011219802
169,0.0,0,0.004012755173332126
170,1.0,0,0.004301179310078554
171,0.0,0,0.017370975189595003
172,0.0,0,0.14511652230757782
173,0.0,0,0.3330413642648621
174,2.0,1,0.6400981469903109
175,0.0,0,0.0020978637050119327
176,0.0,0,0.0019889568173255883
177,0.0,0,0.002816139634056761
178,0.0,0,0.0035174532132851996
179,0.0,0,0.004012837122193741
180,0.0,0,0.004301276568594287
181,0.0,0,0.00441902940674609
182,0.0,0,0.0044154773117252785
183,0.0,0,0.004337280117475465
184,0.0,0,0.004220989031345342
185,1.0,0,0.004091752770378856
186,0.0,0,0.014906434182074322
187,0.0,0,0.1171287414225254
188,0.0,0,0.276235776704532
189,2.0,1,0.5844341065286215
190,0.0,0,0.001889559690852339
191,0.0,0,0.0019765098171092223
192,0.0,0,0.0028101620815354383
193,0.0,0,0.0035112743643773165
194,0.0,0,0.0040064219264106275
195,0.0,0,0.00429503671609868
196,0.0,0,0.004413301514923126
197,0.0,0,0.004410455265733978
198,0.0,0,0.004333030112879148
199,1.0,0,0.004217488457571581
200,0.0,0,0.01575739803041616
201,0.0,0,0.12483920237256854
202,0.0,0,0.29126052259282237
203,2.0,1,0.6000043123673032
204,0.0,0,0.0019414967788766854
205,0.0,0,0.001978901105552705
206,0.0,0,0.0028102842706285713
207,0.0,0,0.003510851562464689
208,1.0,0,0.00400564431221117
209,0.0,0,0.01596763866046343
210,0.0,0,0.13605316063000117
211,0.0,0,0.318688656395751
212,2.0,1,0.6284899175608409
213,0.0,0,0.002053147928898056
214,0.0,0,0.0019895262672386844
215,0.0,0,0.002820585130552374
216,0.0,0,0.0035241480649843993
217,0.0,0,0.0040210506707476674
218,1.0,0,0.004310168613764367
219,0.0,0,0.017435808245396697
220,0.0,0,0.1457118895760437
221,0.0,0,0.33413398720692417
222,2.0,1,0.6410276289729879
223,0.0,0,0.002101779816322452
224,0.0,0,0.0019891159377844166
225,0.0,0,0.0028161267880088955
226,0.0,0,0.003517397196068234
227,0.0,0,0.004012753859399786
228,0.0,0,0.004301177699151885
229,0.0,0,0.004418925944555085
230,0.0,0,0.004415377787854652
231,1.0,0,0.004337189887599795
232,0.0,0,0.016648506685413875
233,0.0,0,0.133229312838513
234,0.0,0,0.3075103280538926
235,2.0,1,0.6159169383359924
236,0.0,0,0.001998756103610851
237,0.0,0,0.0019816495186869825
238,0.0,0,0.002810699121811934
239,0.0,0,0.0035108143751779166
240,0.0,0,0.004005322889813462
241,0.0,0,0.004293522322712191
242,1.0,0,0.004411594713193348
243,0.0,0,0.017665826869936462
244,0.0,0,0.14505888940656825
245,0.0,0,0.3312170006983612
246,2.0,1,0.6379053443048863
247,0.0,0,0.002086898016207734
248,0.0,0,0.001986923947909368
249,0.0,0,0.002813341002525372
250,0.0,0,0.0035136291351379545
251,0.0,0,0.00400830338572129
252,0.0,0,0.004296463665162808
253,0.0,0,0.004414324878246939
254,0.0,0,0.004411153800467815
255,0.0,0,0.004333485803681671
256,0.0,0,0.004217772255823333
257,1.0,0,0.0040890959970411285
258,0.0,0,0.014890581328015606
259,0.0,0,0.11699505063989138
260,0.0,0,0.27597961683499866
261,2.0,1,0.5841634016404861
262,0.0,0,0.0018886947826905302
263,0.0,0,0.00197647596909318
264,0.0,0,0.0028101713874227794
265,0.0,0,0.003511297623087349
266,1.0,0,0.0040064544765912894
267,0.0,0,0.015974149925677812
268,0.0,0,0.13611908601035802
269,0.0,0,0.3188159463428002
270,2.0,1,0.6286052466067709
271,0.0,0,0.002053608532224507
272,0.0,0,0.0019895480014883575
273,0.0,0,0.002820588547320557
274,0.0,0,0.003524148219712363
275,1.0,0,0.004021048843473162
276,0.0,0,0.01607747744315417
277,0.0,0,0.13709377065707445
278,0.0,0,0.3206530431925067
279,2.0,1,0.6302477149388365
280,0.0,0,0.002060153724428604
281,0.0,0,0.0019898169956079257
282,0.0,0,0.0028205660892516287
283,0.0,0,0.0035240506814897747
284,1.0,0,0.004020903419096987
285,0.0,0,0.01607635683556873
286,0.0,0,0.1370826898792043
287,0.0,0,0.32063185939655886
288,2.0,1,0.630228716758225
289,0.0,0,0.0020600773617754082
290,0.0,0,0.0019898135473388
291,0.0,0,0.002820565790163853
292,0.0,0,0.0035240510277085037
293,1.0,0,0.00402090416516275
294,0.0,0,0.016076363035100273
295,0.0,0,0.1370827535530093
296,0.0,0,0.3206319825640928
297,2.0,1,0.6302288277617404
298,0.0,0,0.0020600778094247425
299,0.0,0,0.0019898135689048802
300,0.0,0,0.0028205657943414925
301,0.0,0,0.0035240510290904343
302,0.0,0,0.004020904164879306
303,0.0,0,0.004309993439127152
304,0.0,0,0.0044276497935008255
305,0.0,0,0.0044234645320567366
306,0.0,0,0.004344331918246319
307,1.0,0,0.0042269949330257335
308,0.0,0,0.015816246345288946
309,0.0,0,0.125339072655677
310,0.0,0,0.2922034801527297
311,2.0,1,0.6009415490240746
312,0.0,0,0.0019447188035325003
313,0.0,0,0.0019790261206460583
314,0.0,0,0.002810252483244102
315,0.0,0,0.0035107711496795077
316,0.0,0,0.0040055318959406555
317,0.0,0,0.0042939073185401955
318,0.0,0,0.004412077272732289
319,0.0,0,0.004409251813686083
