,input,expected_output,network_output
0,1.0,0,0.04741713018807414
1,0.0,0,0.6202861477029109
2,0.0,0,0.8999063516185898
3,0.0,0,0.8982768171417865
4,0.0,0,0.907329283168129
5,2.0,1,0.8513540650121724
6,0.0,0,0.003917776437183696
7,0.0,0,0.0015818682417023588
8,0.0,0,0.0019058477137280853
9,0.0,0,0.0021359477738110756
10,0.0,0,0.0024935925125320895
11,0.0,0,0.00275305703440522
12,1.0,0,0.0030372926318622826
13,0.0,0,0.015457306823791662
14,0.0,0,0.10169500825831207
15,0.0,0,0.22253736977821714
16,0.0,0,0.6667925103264214
17,2.0,1,0.8127235602483815
18,0.0,0,0.004208316997763049
19,0.0,0,0.0018822571083118701
20,0.0,0,0.0024307375952733485
21,0.0,0,0.0025648829238354588
22,0.0,0,0.0029849973038060416
23,1.0,0,0.0031629031544362766
24,0.0,0,0.016863679070079456
25,0.0,0,0.1081689815351533
26,0.0,0,0.23911492063005568
27,0.0,0,0.6883540365254133
28,2.0,1,0.8204877551799094
29,0.0,0,0.004395340243641208
30,1.0,0,0.0018778209912245435
31,0.0,0,0.008651058824343144
32,0.0,0,0.05926271404543882
33,0.0,0,0.12484276671070575
34,0.0,0,0.4533526746456895
35,2.0,1,0.6992947510112717
36,0.0,0,0.0025626130994406515
37,0.0,0,0.0018977183621085483
38,0.0,0,0.0026192859607756477
39,0.0,0,0.002753698570735881
40,0.0,0,0.0032200480357630432
41,1.0,0,0.003370187894690488
42,0.0,0,0.01872049091541223
43,0.0,0,0.11756066515421035
44,0.0,0,0.2613696526507155
45,0.0,0,0.7138211972937843
46,2.0,1,0.8287402374867863
47,0.0,0,0.004616759114492921
48,0.0,0,0.0018719173811149582
49,1.0,0,0.0023756905684131956
50,0.0,0,0.010000120354145197
51,0.0,0,0.07603946982027238
52,0.0,0,0.15873831235113717
53,0.0,0,0.5534606621375212
54,2.0,1,0.7618525989716479
55,1.0,0,0.0032929053348484676
56,0.0,0,0.00856731394588577
57,0.0,0,0.0644546291327918
58,0.0,0,0.11824380509487159
59,0.0,0,0.4437502910342462
60,2.0,1,0.6836471902172141
61,0.0,0,0.0025039815327244056
62,0.0,0,0.001910527838460357
63,0.0,0,0.002720384339093863
64,1.0,0,0.002841821074782951
65,0.0,0,0.015573201485443252
66,0.0,0,0.10139557496331293
67,0.0,0,0.22881298395070712
68,0.0,0,0.6757751189630029
69,2.0,1,0.8175302833504977
70,0.0,0,0.004324167328226355
71,1.0,0,0.001883924467287959
72,0.0,0,0.00871990498129728
73,0.0,0,0.05971590636026595
74,0.0,0,0.12612946325609628
75,0.0,0,0.45735598274315237
76,2.0,1,0.7024942361244242
77,0.0,0,0.002589208324320958
78,0.0,0,0.0018976947055355953
79,0.0,0,0.002615427151409513
80,1.0,0,0.0027495335015418326
81,0.0,0,0.014572119669690825
82,0.0,0,0.09621893770763479
83,0.0,0,0.21510536882097667
84,0.0,0,0.6562181309985795
85,2.0,1,0.8101935640717142
86,0.0,0,0.004145651479270177
87,0.0,0,0.001886459739754067
88,0.0,0,0.0024381692102524136
89,0.0,0,0.0025719680148673686
90,0.0,0,0.002992210055727678
91,1.0,0,0.0031692724615698547
92,0.0,0,0.01691607481926076
93,0.0,0,0.10843195010923758
94,0.0,0,0.23972941869698788
95,0.0,0,0.6891105645128082
96,2.0,1,0.820740247904818
97,1.0,0,0.00440180742030633
98,0.0,0,0.010131503084366477
99,0.0,0,0.06566640419973882
100,0.0,0,0.1154058113071754
101,0.0,0,0.430004665985561
102,2.0,1,0.6696750567260172
103,1.0,0,0.002392120646670336
104,0.0,0,0.007237371119477467
105,0.0,0,0.06277582894398065
106,0.0,0,0.11960275809557128
107,0.0,0,0.4521244091385136
108,2.0,1,0.6926364802307202
109,0.0,0,0.0025860816920832315
110,0.0,0,0.0019159783856522942
111,0.0,0,0.002722143762630822
112,0.0,0,0.0028407267752318323
113,1.0,0,0.0033463745326973897
114,0.0,0,0.01752285431940766
115,0.0,0,0.11397355196063083
116,0.0,0,0.2501734689920461
117,0.0,0,0.7025277531767649
118,2.0,1,0.8247867610440299
119,0.0,0,0.004526124022001084
120,0.0,0,0.0018763103891339906
121,0.0,0,0.0023961925368574627
122,0.0,0,0.0025332724455115214
123,1.0,0,0.002946683969177866
124,0.0,0,0.01446483842667041
125,0.0,0,0.09761006614328259
126,0.0,0,0.2120398293667329
127,0.0,0,0.6521015387631864
128,2.0,1,0.8071434369945304
129,0.0,0,0.004087518362273449
130,0.0,0,0.0018857675351450802
131,0.0,0,0.0024506341479851278
132,0.0,0,0.0025825920118015696
133,0.0,0,0.0030073718103267697
134,1.0,0,0.003181981847882212
135,0.0,0,0.017031458407904914
136,0.0,0,0.10900954445229273
137,0.0,0,0.2411204325187371
138,0.0,0,0.6908156357961133
139,2.0,1,0.8213161794462988
140,0.0,0,0.004416656140909822
141,1.0,0,0.0018772899686826075
142,0.0,0,0.00863758568313009
143,0.0,0,0.059172852320774454
144,0.0,0,0.12456908661674787
145,0.0,0,0.4524972732967265
146,2.0,1,0.6985948269830946
147,1.0,0,0.0025568967106889846
148,0.0,0,0.007506657660378806
149,0.0,0,0.062496339210737856
150,0.0,0,0.11778465600545446
151,0.0,0,0.44492445461325114
152,2.0,1,0.6862425856468491
153,0.0,0,0.0025306729074921156
154,0.0,0,0.0019142549049407291
155,1.0,0,0.0027250585286204233
156,0.0,0,0.01225495684687448
157,0.0,0,0.08993366552467591
158,0.0,0,0.19256521629699944
159,0.0,0,0.6231089386738943
160,2.0,1,0.7954745371645604
161,0.0,0,0.0038706631833587525
162,0.0,0,0.0018950806423622961
163,0.0,0,0.0024978469809165014
164,0.0,0,0.002624283135282923
165,0.0,0,0.0030608363417617248
166,1.0,0,0.0032274940351553266
167,0.0,0,0.01743710248641663
168,0.0,0,0.11104401825185531
169,0.0,0,0.24597284406843142
170,0.0,0,0.6966275928101122
171,2.0,1,0.8232470747477796
172,0.0,0,0.0044670887721282365
173,0.0,0,0.0018760047884256018
174,0.0,0,0.00239511473518255
175,0.0,0,0.002533049897824223
176,1.0,0,0.0029454520189949648
177,0.0,0,0.014457685337916885
178,0.0,0,0.09756566564556057
179,0.0,0,0.2119407317037505
180,0.0,0,0.6519471766828214
181,2.0,1,0.8070856353321978
182,0.0,0,0.00408617149925937
183,0.0,0,0.001885786593697157
184,1.0,0,0.0024507760150060806
185,0.0,0,0.010448388665264173
186,0.0,0,0.07880422315236495
187,0.0,0,0.16542126034798182
188,0.0,0,0.5687500957283054
189,2.0,1,0.7699342356562369
190,0.0,0,0.0034140211792084035
191,0.0,0,0.0018994814742744092
192,0.0,0,0.0025530509985394615
193,0.0,0,0.002677040416029166
194,1.0,0,0.003127994450974602
195,0.0,0,0.015803327385230163
196,0.0,0,0.10473558620391248
197,0.0,0,0.22867907581162483
198,0.0,0,0.6758544788457905
199,2.0,1,0.8158087682735787
200,0.0,0,0.004292143012018119
201,0.0,0,0.001881653929822713
202,0.0,0,0.002425113504972617
203,0.0,0,0.0025593304712185592
204,0.0,0,0.002978599866957154
205,0.0,0,0.0031572692416830758
206,1.0,0,0.0034283587512837846
207,0.0,0,0.018489038848185698
208,0.0,0,0.11709229101378937
209,0.0,0,0.2577547746752599
210,0.0,0,0.7099997428170266
211,2.0,1,0.8270993756058359
212,0.0,0,0.0045742243268881875
213,1.0,0,0.0018722859648739455
214,0.0,0,0.008540612779502937
215,0.0,0,0.05851828025001699
216,0.0,0,0.12262206057999088
217,0.0,0,0.4463567201790237
218,2.0,1,0.6935238073610478
219,0.0,0,0.0025163429070427096
220,0.0,0,0.0018977017240326395
221,0.0,0,0.0026261827640115874
222,1.0,0,0.0027611593498501072
223,0.0,0,0.01468627034824698
224,0.0,0,0.09682595533864198
225,0.0,0,0.21668260261659764
226,0.0,0,0.6585804616016488
227,2.0,1,0.8110984741013271
228,0.0,0,0.0041669928024379655
229,1.0,0,0.00188617538892934
230,0.0,0,0.008807738264794262
231,0.0,0,0.060317669061220665
232,0.0,0,0.1279940391677379
233,0.0,0,0.4631068342119781
234,2.0,1,0.7070828836015287
235,0.0,0,0.0026285284150566494
236,1.0,0,0.0018977593753000143
237,0.0,0,0.009642932637317945
238,0.0,0,0.06675963750953118
239,0.0,0,0.14836215815252668
240,0.0,0,0.5219849518916734
241,2.0,1,0.7488026226425902
242,0.0,0,0.0030707323048868224
243,0.0,0,0.001899970862313665
244,0.0,0,0.0025570289694037272
245,0.0,0,0.002687765075466437
246,0.0,0,0.0031344411802576603
247,1.0,0,0.0032938053231717896
248,0.0,0,0.018017593067022664
249,0.0,0,0.11398670798818335
250,0.0,0,0.2529047281462741
251,0.0,0,0.7045946169064057
252,2.0,1,0.825823306484611
253,0.0,0,0.004536157970438451
254,0.0,0,0.0018741508226716034
255,0.0,0,0.002386146705846339
256,1.0,0,0.0025250496721693737
257,0.0,0,0.012526771080843487
258,0.0,0,0.08552213332343336
259,0.0,0,0.18746057127739035
260,0.0,0,0.609983597904906
261,2.0,1,0.7910402426510678
262,0.0,0,0.0037427756404878106
263,0.0,0,0.0018916910895084957
264,0.0,0,0.0024869843812274322
265,0.0,0,0.0026172095923756885
266,0.0,0,0.0030490757878639807
267,0.0,0,0.003218304154880513
268,1.0,0,0.003488142853882274
269,0.0,0,0.01898541198816169
270,0.0,0,0.11963399810424094
271,0.0,0,0.26353822692964407
272,0.0,0,0.7161203411214936
273,2.0,1,0.8289820899673332
274,0.0,0,0.004626388753416072
275,0.0,0,0.0018706476975038128
276,0.0,0,0.0023751536461267407
277,1.0,0,0.002515124573300442
