,input,expected_output,network_output
0,1.0,0,0.006259237538567964
1,2.0,1,0.03685165500412237
2,0.0,0,0.0010011501867776152
3,0.0,0,0.004664424085830175
4,0.0,0,0.015033062846741376
5,0.0,0,0.03663293547323789
6,1.0,0,0.07407154014377032
7,2.0,1,0.6923184109336543
8,0.0,0,0.012929559068199894
9,0.0,0,0.007591668159441842
10,0.0,0,0.02107515261059003
11,0.0,0,0.05063879664164563
12,0.0,0,0.1026909313847873
13,1.0,0,0.17550432703646227
14,2.0,1,0.7576541797781252
15,0.0,0,0.016379241478113662
16,0.0,0,0.0076568181731110655
17,0.0,0,0.020322314373215754
18,0.0,0,0.048124926915960514
19,0.0,0,0.09658144205596317
20,1.0,0,0.16400370605219342
21,2.0,1,0.750864141798119
22,0.0,0,0.015786324728706617
23,0.0,0,0.007572463935109905
24,0.0,0,0.0202015949531225
25,0.0,0,0.0478684954418726
26,0.0,0,0.09607095878350667
27,0.0,0,0.163158280390825
28,1.0,0,0.232175309928984
29,2.0,1,0.7476482887452972
30,0.0,0,0.01459292602282158
31,0.0,0,0.0071290203752879715
32,0.0,0,0.019073990655565542
33,0.0,0,0.044983514607152435
34,0.0,0,0.08976825160836037
35,0.0,0,0.1519732695228087
36,1.0,0,0.2164590872906664
37,2.0,1,0.7421779890801247
38,0.0,0,0.014193252534330146
39,0.0,0,0.007080156667908881
40,0.0,0,0.019014031868103364
41,0.0,0,0.044865362501853606
42,0.0,0,0.08954342806632246
43,0.0,0,0.15161129774603202
44,1.0,0,0.21598880695202116
45,2.0,1,0.7420375468172858
46,0.0,0,0.014184044504991064
47,0.0,0,0.007079290065421478
48,0.0,0,0.01901347038250415
49,0.0,0,0.04486480707030185
50,0.0,0,0.08954303028725227
51,0.0,0,0.15161152079626247
52,1.0,0,0.2159901481145921
53,2.0,1,0.7420388732881052
54,0.0,0,0.01418415975012768
55,0.0,0,0.007079310551234931
56,0.0,0,0.019013507836918297
57,0.0,0,0.04486489432666053
58,0.0,0,0.08954321233900374
59,1.0,0,0.15161183487172344
60,2.0,1,0.7433719204016302
61,0.0,0,0.015191042099270738
62,0.0,0,0.0074945537365327265
63,0.0,0,0.02010218916349607
64,0.0,0,0.04766980907758266
65,0.0,0,0.09569013298832421
66,0.0,0,0.16254612275688626
67,1.0,0,0.231389076278949
68,2.0,1,0.7474415216727001
69,0.0,0,0.014578839015005746
