,trial,prior_node,posterior_node,weight
0,0,100,6493,0.0
1,0,6493,6493,0.0
2,0,-2,6493,0.0
3,0,-2,100,0.0
4,0,100,100,0.0
5,0,-1,8493,0.0
6,0,8493,8493,0.0
7,1,100,6493,0.0
8,1,6493,6493,0.0
9,1,-2,6493,0.0
10,1,-2,100,0.0
11,1,100,100,0.0
12,1,-1,8493,0.0
13,1,8493,8493,0.0
14,2,100,6493,0.0
15,2,6493,6493,0.0
16,2,-2,6493,0.0
17,2,-2,100,0.0
18,2,100,100,0.0
19,2,-1,8493,0.0
20,2,8493,8493,0.0
21,3,100,6493,0.0
22,3,6493,6493,0.0
23,3,-2,6493,0.0
24,3,-2,100,0.0
25,3,100,100,0.0
26,3,-1,8493,0.0
27,3,8493,8493,0.0
28,4,100,6493,0.0
29,4,6493,6493,0.0
30,4,-2,6493,0.0
31,4,-2,100,0.0
32,4,100,100,0.0
33,4,-1,8493,0.0
34,4,8493,8493,0.0
35,5,100,6493,0.0
36,5,6493,6493,0.0
37,5,-2,6493,0.0
38,5,-2,100,0.0
39,5,100,100,0.0
40,5,-1,8493,0.0
41,5,8493,8493,0.0
42,6,100,6493,0.0
43,6,6493,6493,0.0
44,6,-2,6493,0.0
45,6,-2,100,0.0
46,6,100,100,0.0
47,6,-1,8493,0.0
48,6,8493,8493,0.0
49,7,100,6493,0.0
50,7,6493,6493,0.0
51,7,-2,6493,0.0
52,7,-2,100,0.0
53,7,100,100,0.0
54,7,-1,8493,0.0
55,7,8493,8493,0.0
56,8,100,6493,0.0
57,8,6493,6493,0.0
58,8,-2,6493,0.0
59,8,-2,100,0.0
60,8,100,100,0.0
61,8,-1,8493,0.0
62,8,8493,8493,0.0
63,9,100,6493,0.0
64,9,6493,6493,0.0
65,9,-2,6493,0.0
66,9,-2,100,0.0
67,9,100,100,0.0
68,9,-1,8493,0.0
69,9,8493,8493,0.0
70,10,100,6493,0.0
71,10,6493,6493,0.0
72,10,-2,6493,0.0
73,10,-2,100,0.0
74,10,100,100,0.0
75,10,-1,8493,0.0
76,10,8493,8493,0.0
77,11,100,6493,0.0
78,11,6493,6493,0.0
79,11,-2,6493,0.0
80,11,-2,100,0.0
81,11,100,100,0.0
82,11,-1,8493,0.0
83,11,8493,8493,0.0
84,12,100,6493,0.0
85,12,6493,6493,0.0
86,12,-2,6493,0.0
87,12,-2,100,0.0
88,12,100,100,0.0
89,12,-1,8493,0.0
90,12,8493,8493,0.0
91,13,100,6493,0.0
92,13,6493,6493,0.0
93,13,-2,6493,0.0
94,13,-2,100,0.0
95,13,100,100,0.0
96,13,-1,8493,0.0
97,13,8493,8493,0.0
98,14,100,6493,0.0
99,14,6493,6493,0.0
100,14,-2,6493,0.0
101,14,-2,100,0.0
102,14,100,100,0.0
103,14,-1,8493,0.0
104,14,8493,8493,0.0
105,15,100,6493,0.0
106,15,6493,6493,0.0
107,15,-2,6493,0.0
108,15,-2,100,0.0
109,15,100,100,0.0
110,15,-1,8493,0.0
111,15,8493,8493,0.0
