,trial,prior_node,posterior_node,weight
0,0,117952,0,0.0
1,0,-2,7184,0.0
2,0,7184,7184,0.0
3,0,-1,18515,0.0
4,0,18515,18515,0.0
5,0,117952,117952,0.0
6,0,-1,117952,0.0
7,0,18515,117952,0.0
8,1,117952,0,0.0
9,1,-2,7184,0.0
10,1,7184,7184,0.0
11,1,-1,18515,0.0
12,1,18515,18515,0.0
13,1,117952,117952,0.0
14,1,-1,117952,0.0
15,1,18515,117952,0.0
16,2,117952,0,0.0
17,2,-2,7184,0.0
18,2,7184,7184,0.0
19,2,-1,18515,0.0
20,2,18515,18515,0.0
21,2,117952,117952,0.0
22,2,-1,117952,0.0
23,2,18515,117952,0.0
24,3,117952,0,0.0
25,3,-2,7184,0.0
26,3,7184,7184,0.0
27,3,-1,18515,0.0
28,3,18515,18515,0.0
29,3,117952,117952,0.0
30,3,-1,117952,0.0
31,3,18515,117952,0.0
32,4,117952,0,0.0
33,4,-2,7184,0.0
34,4,7184,7184,0.0
35,4,-1,18515,0.0
36,4,18515,18515,0.0
37,4,117952,117952,0.0
38,4,-1,117952,0.0
39,4,18515,117952,0.0
40,5,117952,0,0.0
41,5,-2,7184,0.0
42,5,7184,7184,0.0
43,5,-1,18515,0.0
44,5,18515,18515,0.0
45,5,117952,117952,0.0
46,5,-1,117952,0.0
47,5,18515,117952,0.0
48,6,117952,0,0.0
49,6,-2,7184,0.0
50,6,7184,7184,0.0
51,6,-1,18515,0.0
52,6,18515,18515,0.0
53,6,117952,117952,0.0
54,6,-1,117952,0.0
55,6,18515,117952,0.0
56,7,117952,0,0.0
57,7,-2,7184,0.0
58,7,7184,7184,0.0
59,7,-1,18515,0.0
60,7,18515,18515,0.0
61,7,117952,117952,0.0
62,7,-1,117952,0.0
63,7,18515,117952,0.0
64,8,117952,0,0.0
65,8,-2,7184,0.0
66,8,7184,7184,0.0
67,8,-1,18515,0.0
68,8,18515,18515,0.0
69,8,117952,117952,0.0
70,8,-1,117952,0.0
71,8,18515,117952,0.0
72,9,117952,0,0.0
73,9,-2,7184,0.0
74,9,7184,7184,0.0
75,9,-1,18515,0.0
76,9,18515,18515,0.0
77,9,117952,117952,0.0
78,9,-1,117952,0.0
79,9,18515,117952,0.0
80,10,117952,0,0.0
81,10,-2,7184,0.0
82,10,7184,7184,0.0
83,10,-1,18515,0.0
84,10,18515,18515,0.0
85,10,117952,117952,0.0
86,10,-1,117952,0.0
87,10,18515,117952,0.0
88,11,117952,0,0.0
89,11,-2,7184,0.0
90,11,7184,7184,0.0
91,11,-1,18515,0.0
92,11,18515,18515,0.0
93,11,117952,117952,0.0
94,11,-1,117952,0.0
95,11,18515,117952,0.0
96,12,117952,0,0.0
97,12,-2,7184,0.0
98,12,7184,7184,0.0
99,12,-1,18515,0.0
100,12,18515,18515,0.0
101,12,117952,117952,0.0
102,12,-1,117952,0.0
103,12,18515,117952,0.0
104,13,117952,0,0.0
105,13,-2,7184,0.0
106,13,7184,7184,0.0
107,13,-1,18515,0.0
108,13,18515,18515,0.0
109,13,117952,117952,0.0
110,13,-1,117952,0.0
111,13,18515,117952,0.0
112,14,117952,0,0.0
113,14,-2,7184,0.0
114,14,7184,7184,0.0
115,14,-1,18515,0.0
116,14,18515,18515,0.0
117,14,117952,117952,0.0
118,14,-1,117952,0.0
119,14,18515,117952,0.0
120,15,117952,0,0.0
121,15,-2,7184,0.0
122,15,7184,7184,0.0
123,15,-1,18515,0.0
124,15,18515,18515,0.0
125,15,117952,117952,0.0
126,15,-1,117952,0.0
127,15,18515,117952,0.0
128,16,117952,0,0.0
129,16,-2,7184,0.0
130,16,7184,7184,0.0
131,16,-1,18515,0.0
132,16,18515,18515,0.0
133,16,117952,117952,0.0
134,16,-1,117952,0.0
135,16,18515,117952,0.0
136,17,117952,0,0.0
137,17,-2,7184,0.0
138,17,7184,7184,0.0
139,17,-1,18515,0.0
140,17,18515,18515,0.0
141,17,117952,117952,0.0
142,17,-1,117952,0.0
143,17,18515,117952,0.0
144,18,117952,0,0.0
145,18,-2,7184,0.0
146,18,7184,7184,0.0
147,18,-1,18515,0.0
148,18,18515,18515,0.0
149,18,117952,117952,0.0
150,18,-1,117952,0.0
151,18,18515,117952,0.0
152,19,117952,0,0.0
153,19,-2,7184,0.0
154,19,7184,7184,0.0
155,19,-1,18515,0.0
156,19,18515,18515,0.0
157,19,117952,117952,0.0
158,19,-1,117952,0.0
159,19,18515,117952,0.0
160,20,117952,0,0.0
161,20,-2,7184,0.0
162,20,7184,7184,0.0
163,20,-1,18515,0.0
164,20,18515,18515,0.0
165,20,117952,117952,0.0
166,20,-1,117952,0.0
167,20,18515,117952,0.0
168,21,117952,0,0.0
169,21,-2,7184,0.0
170,21,7184,7184,0.0
171,21,-1,18515,0.0
172,21,18515,18515,0.0
173,21,117952,117952,0.0
174,21,-1,117952,0.0
175,21,18515,117952,0.0
176,22,117952,0,0.0
177,22,-2,7184,0.0
178,22,7184,7184,0.0
179,22,-1,18515,0.0
180,22,18515,18515,0.0
181,22,117952,117952,0.0
182,22,-1,117952,0.0
183,22,18515,117952,0.0
184,23,117952,0,0.0
185,23,-2,7184,0.0
186,23,7184,7184,0.0
187,23,-1,18515,0.0
188,23,18515,18515,0.0
189,23,117952,117952,0.0
190,23,-1,117952,0.0
191,23,18515,117952,0.0
192,24,117952,0,0.0
193,24,-2,7184,0.0
194,24,7184,7184,0.0
195,24,-1,18515,0.0
196,24,18515,18515,0.0
197,24,117952,117952,0.0
198,24,-1,117952,0.0
199,24,18515,117952,0.0
200,25,117952,0,0.0
201,25,-2,7184,0.0
202,25,7184,7184,0.0
203,25,-1,18515,0.0
204,25,18515,18515,0.0
205,25,117952,117952,0.0
206,25,-1,117952,0.0
