,input,expected_output,network_output
0,1.0,0,0.0031093267939679603
1,0.0,0,0.007191009167558058
2,2.0,1,0.00764921523974928
3,0.0,0,0.0024556848361013753
4,0.0,0,0.0034029911417006696
5,0.0,0,0.003717371895962173
6,0.0,0,0.0038186409735527257
7,0.0,0,0.003855180505827045
8,1.0,0,0.0038718767929278677
9,0.0,0,0.012578445444390272
10,2.0,1,0.018801296729936006
11,0.0,0,0.0025030433197428797
12,0.0,0,0.003941462059259721
13,0.0,0,0.0046570903820329435
14,0.0,0,0.00494235080235637
15,1.0,0,0.005011666098396703
16,0.0,0,0.025818723943032588
17,2.0,1,0.07211154247242017
18,0.0,0,0.0026544108679171174
19,0.0,0,0.0046230944452907655
20,0.0,0,0.006239918946520445
21,1.0,0,0.007500129501882418
22,0.0,0,0.09102756037162898
23,2.0,1,0.5395744131876463
24,0.0,0,0.003990003580023696
25,0.0,0,0.005537476523256018
26,0.0,0,0.007781996163258439
27,0.0,0,0.009672129365811492
28,0.0,0,0.011578054992625163
29,1.0,0,0.013712815202424946
30,0.0,0,0.27234386632043917
31,2.0,1,0.8702661758108271
32,0.0,0,0.008193720988344139
33,0.0,0,0.006071108986380248
34,0.0,0,0.007342679009003822
35,0.0,0,0.007855256575660085
36,1.0,0,0.008116428673170122
37,0.0,0,0.08706416003069864
38,2.0,1,0.48234078964547955
39,0.0,0,0.0036782153566695375
40,0.0,0,0.00531775719388359
41,0.0,0,0.007361705628559906
42,1.0,0,0.008994942469683888
43,0.0,0,0.1368644534646923
44,2.0,1,0.7099086488145833
45,0.0,0,0.005151764552894406
46,0.0,0,0.005762099931304086
47,0.0,0,0.0077032955525090045
48,0.0,0,0.009035695892123023
49,1.0,0,0.0101681812001397
50,0.0,0,0.15551128492784635
51,2.0,1,0.7380438510933421
52,0.0,0,0.005356175736125324
53,0.0,0,0.005698585572620299
54,0.0,0,0.007426747591003613
55,0.0,0,0.008479104276468804
56,1.0,0,0.009275448028603623
57,0.0,0,0.12504066346678755
58,2.0,1,0.6555666492871718
59,0.0,0,0.004579995432272414
60,0.0,0,0.0055490945165589806
61,0.0,0,0.007416735560081626
62,0.0,0,0.008690365513149303
63,1.0,0,0.009746098568802862
64,0.0,0,0.14284905504385934
65,2.0,1,0.7096169115264369
66,0.0,0,0.00505333101495812
67,0.0,0,0.005651852015198021
68,0.0,0,0.007446560315217547
69,1.0,0,0.008595341025455332
70,0.0,0,0.11393446258955947
71,2.0,1,0.6272833016635775
72,0.0,0,0.0044270181875345595
73,0.0,0,0.005569233717494586
74,0.0,0,0.007567671374106387
75,0.0,0,0.009033251422385674
76,1.0,0,0.01033542968749533
77,0.0,0,0.16412098449714352
78,2.0,1,0.7572496590716944
79,0.0,0,0.0056178085122623525
80,0.0,0,0.005755373287737482
81,0.0,0,0.0074606912064931865
82,0.0,0,0.008475503877499102
83,1.0,0,0.009230889428429387
84,0.0,0,0.12305265819431585
85,2.0,1,0.6482828981463644
86,0.0,0,0.004525134011624164
87,0.0,0,0.005535038488911653
88,0.0,0,0.007409141509460342
89,0.0,0,0.008695739628094935
90,0.0,0,0.00976734292044772
91,1.0,0,0.010750114303600535
92,0.0,0,0.16743846496993386
93,2.0,1,0.7569240386488938
94,0.0,0,0.005556183609744893
95,0.0,0,0.005699689989618624
96,0.0,0,0.007339435149742525
97,0.0,0,0.008279751185035652
98,1.0,0,0.008952153926405054
99,0.0,0,0.11441606302078512
100,2.0,1,0.6169037228923675
101,0.0,0,0.004319687564832087
102,0.0,0,0.005491990518057897
103,0.0,0,0.00741236399511598
104,1.0,0,0.00877998096601122
105,0.0,0,0.12401016227965361
106,2.0,1,0.6671914612560356
107,0.0,0,0.004734169048672283
108,0.0,0,0.005654115908119925
109,0.0,0,0.007626273796074654
110,0.0,0,0.00902855484706585
111,0.0,0,0.01024874204175225
112,1.0,0,0.011425670853654058
113,0.0,0,0.18957089212731904
114,2.0,1,0.7924337782596523
115,0.0,0,0.006100508490770648
116,0.0,0,0.005782051298880369
117,0.0,0,0.007330484083984926
118,0.0,0,0.008152485911159264
119,0.0,0,0.008702288654788391
120,1.0,0,0.00911102318678682
121,0.0,0,0.11364624301900154
122,2.0,1,0.607265597249174
123,0.0,0,0.004241350005106223
124,0.0,0,0.0054463664595776114
125,0.0,0,0.007331375161968481
126,0.0,0,0.008658498027569543
127,0.0,0,0.009779588021398365
128,1.0,0,0.010818178230910762
129,0.0,0,0.17052526771984874
130,2.0,1,0.7630204045484467
131,0.0,0,0.005644337215128432
132,0.0,0,0.0057174048523827405
133,0.0,0,0.007348146115512008
134,0.0,0,0.008275116408730913
135,0.0,0,0.008933546165619527
136,1.0,0,0.009452130352773052
137,0.0,0,0.12420664067779179
138,2.0,1,0.6462269528682947
139,0.0,0,0.004487440183384669
140,0.0,0,0.005499416040226299
141,0.0,0,0.007330646275685033
142,0.0,0,0.008563699715641998
143,1.0,0,0.00956863511082818
144,0.0,0,0.1371276217171466
145,2.0,1,0.6945908930268645
146,0.0,0,0.004910706169664601
147,0.0,0,0.005626175040311759
148,0.0,0,0.0074494089396639745
149,1.0,0,0.008642483380370268
150,0.0,0,0.11615757591338355
151,2.0,1,0.6364399924152865
152,0.0,0,0.004491230169103103
153,0.0,0,0.005586682648613548
154,0.0,0,0.00757794107602898
155,1.0,0,0.009027320773429614
156,0.0,0,0.13225760233591324
157,2.0,1,0.6922746099502337
158,0.0,0,0.004950033549512783
159,0.0,0,0.005695397810032136
160,0.0,0,0.007622448563760997
161,1.0,0,0.008948502507886836
162,0.0,0,0.1269732042984136
163,2.0,1,0.6739881691121167
164,0.0,0,0.004777327881849124
165,0.0,0,0.005648654770734704
166,0.0,0,0.00758579190668342
167,0.0,0,0.008937282755956392
168,0.0,0,0.010092279977243993
169,1.0,0,0.01118581721132936
170,0.0,0,0.18133961643268579
171,2.0,1,0.7801738640603703
172,0.0,0,0.005893232144798346
173,0.0,0,0.005750133519673307
174,0.0,0,0.007330174410504021
175,0.0,0,0.008192372151485957
176,0.0,0,0.008782995966898619
177,1.0,0,0.009232074060690388
178,0.0,0,0.11738758485830614
179,2.0,1,0.6217926999251704
180,0.0,0,0.004328058486616624
181,0.0,0,0.005465649624661152
182,0.0,0,0.007331552157417197
183,0.0,0,0.008624422725686089
184,1.0,0,0.009702698027212889
185,0.0,0,0.14228356676019083
186,2.0,1,0.7088853707573267
187,0.0,0,0.005050277762988813
188,0.0,0,0.005655408676954418
189,0.0,0,0.007457929056874559
190,0.0,0,0.00861669733412762
191,1.0,0,0.009535341224679842
192,0.0,0,0.13429369015556414
193,2.0,1,0.6850495575045741
194,0.0,0,0.004818148537860148
195,0.0,0,0.005600283361945234
196,0.0,0,0.00742683025769361
197,0.0,0,0.008629938394360466
198,1.0,0,0.009600440315904303
199,0.0,0,0.13713386658448337
