,input,expected_output,network_output
0,1.0,0,0.003502843050729025
1,0.0,0,0.00972203671808625
2,0.0,0,0.012182616199827967
3,0.0,0,0.017814023134414925
4,0.0,0,0.02893775344887005
5,2.0,1,0.054978662941266646
6,0.0,0,0.0025635872648716454
7,1.0,0,0.0038469685455258767
8,0.0,0,0.018261353775790072
9,0.0,0,0.045650830851255896
10,0.0,0,0.2002414925253767
11,0.0,0,0.7398509091224131
12,2.0,1,0.9429190405634863
13,0.0,0,0.0074158227378071815
14,0.0,0,0.00431084658464732
15,1.0,0,0.0042025410940093495
16,0.0,0,0.014494064051126932
17,0.0,0,0.023146310155233236
18,0.0,0,0.051701660344535945
19,0.0,0,0.16841162629423218
20,2.0,1,0.5831930789601654
21,0.0,0,0.00346796299522056
22,0.0,0,0.004118851626315469
23,1.0,0,0.004567936480216808
24,0.0,0,0.020922944150929646
25,0.0,0,0.04928641263865953
26,0.0,0,0.2005770214040315
27,0.0,0,0.7198862529151886
28,2.0,1,0.9374797553622596
29,0.0,0,0.006874221219672704
30,1.0,0,0.0042098016690225
31,0.0,0,0.01509942871641237
32,0.0,0,0.02397629605351589
33,0.0,0,0.052541801283957135
34,0.0,0,0.1660215061996359
35,2.0,1,0.5666595182923873
36,0.0,0,0.0034019595524834743
37,1.0,0,0.004084157086150501
38,0.0,0,0.019446770173714382
39,0.0,0,0.046826979195446795
40,0.0,0,0.19403260839705438
41,0.0,0,0.7165194886125253
42,2.0,1,0.9380331172505572
43,0.0,0,0.006996723353957873
44,1.0,0,0.004243774641151728
45,0.0,0,0.015434481596061672
46,0.0,0,0.024935369363382233
47,0.0,0,0.05626652315014328
48,0.0,0,0.184820468647291
49,2.0,1,0.6117333261536495
50,0.0,0,0.003527699846512686
51,1.0,0,0.004090647832368751
52,0.0,0,0.019115172256642377
53,0.0,0,0.04465450875331124
54,0.0,0,0.17774614772729147
55,0.0,0,0.6835410231271697
56,2.0,1,0.9329237364907983
57,0.0,0,0.0067770102427341895
58,0.0,0,0.004236960660321261
59,1.0,0,0.004178420225550764
60,0.0,0,0.014428494450210362
61,0.0,0,0.023089105528306335
62,0.0,0,0.0516887792072499
63,0.0,0,0.1688584611441539
64,2.0,1,0.5850587615426529
65,1.0,0,0.0034747830719753414
66,0.0,0,0.012647480805766548
67,0.0,0,0.037166241024429884
68,0.0,0,0.16962240607014903
69,0.0,0,0.7032726953882936
70,2.0,1,0.9399348152685079
71,0.0,0,0.007451457280860052
72,1.0,0,0.004363236703315912
73,0.0,0,0.016643407171740326
74,0.0,0,0.02856573405614506
75,0.0,0,0.07137431305958995
76,0.0,0,0.2627688536491669
77,2.0,1,0.7399814153947345
78,1.0,0,0.004041136972007974
79,0.0,0,0.012311648882178585
80,0.0,0,0.03295280649447608
81,0.0,0,0.126795909872871
82,0.0,0,0.5666989630382763
83,2.0,1,0.9142725526777596
84,1.0,0,0.006327563322034763
85,0.0,0,0.013678790837626359
86,0.0,0,0.03248193384786772
87,0.0,0,0.10300545907797143
88,0.0,0,0.4265461617736798
89,2.0,1,0.8603060721713951
90,0.0,0,0.0050009463660707154
91,1.0,0,0.004110257553090314
92,0.0,0,0.016148419666796615
93,0.0,0,0.029120041680747045
94,0.0,0,0.07824769190085726
95,0.0,0,0.3095688703358836
96,2.0,1,0.7943034253118971
97,0.0,0,0.004439139651687391
98,1.0,0,0.004160789435213673
99,0.0,0,0.018023562316263283
100,0.0,0,0.03730746796454255
101,0.0,0,0.12475846272684687
102,0.0,0,0.5248760070360656
103,2.0,1,0.8992011165053488
104,1.0,0,0.005781389088049996
105,0.0,0,0.013016474525940345
106,0.0,0,0.03055721526176564
107,0.0,0,0.09453779737441595
108,0.0,0,0.3928894052869073
109,2.0,1,0.8462026619233675
110,0.0,0,0.004867171471432396
111,0.0,0,0.0041265668471465455
112,1.0,0,0.004277021279048054
113,0.0,0,0.016085796584059297
114,0.0,0,0.028790827960682365
115,0.0,0,0.07772163010466959
116,0.0,0,0.31079384107660735
117,2.0,1,0.7977939828304876
118,1.0,0,0.004489240382551483
119,0.0,0,0.012796312348250693
120,0.0,0,0.03447081803581214
121,0.0,0,0.1331483855861784
122,0.0,0,0.5806210369883645
123,2.0,1,0.9157559019529021
124,0.0,0,0.006285104028931858
125,1.0,0,0.004242431658581498
126,0.0,0,0.016361026330110114
127,0.0,0,0.028611047055783122
128,0.0,0,0.0734276291573691
129,0.0,0,0.278150724184237
130,2.0,1,0.7607499733415518
131,0.0,0,0.004179565587811053
132,1.0,0,0.004132016297373286
133,0.0,0,0.01806875122019034
134,0.0,0,0.03799895550156429
135,0.0,0,0.13011681124936259
136,0.0,0,0.5462348956216
137,2.0,1,0.9051264729243856
138,0.0,0,0.005924810707328237
139,0.0,0,0.004209799169163517
140,1.0,0,0.0042474703263868895
141,0.0,0,0.015372381928976726
142,0.0,0,0.02613535013837179
143,0.0,0,0.06480866111495556
144,0.0,0,0.23984014539947277
145,2.0,1,0.7202828278753268
146,0.0,0,0.003986921076279673
147,1.0,0,0.004152704480884928
148,0.0,0,0.018954434511343522
149,0.0,0,0.04246117765250884
150,0.0,0,0.1594120376507607
151,0.0,0,0.6363058003828406
152,2.0,1,0.9243580854264104
153,0.0,0,0.006439683895098247
154,0.0,0,0.004217985267822288
155,1.0,0,0.004193355338353541
156,0.0,0,0.01466712994457842
157,0.0,0,0.02386012192794378
158,0.0,0,0.054911071019699456
159,0.0,0,0.18608296021331988
160,2.0,1,0.6257375738196853
161,1.0,0,0.003600011575882564
162,0.0,0,0.012639920831242383
163,0.0,0,0.03677085646961766
164,0.0,0,0.1639867167580561
165,0.0,0,0.6876256591348876
166,2.0,1,0.9373422656991879
167,0.0,0,0.007281474090586055
168,0.0,0,0.0043441051215940855
169,1.0,0,0.004265126908819816
170,0.0,0,0.015148795690279961
171,0.0,0,0.025110865206579118
172,0.0,0,0.05978646224466595
173,0.0,0,0.21127974021108348
174,2.0,1,0.6741227449918583
175,0.0,0,0.0037734212088757187
176,0.0,0,0.004136834442575584
177,1.0,0,0.004509321228335481
178,0.0,0,0.01969238120695863
179,0.0,0,0.04332052457593735
180,0.0,0,0.16111988872559288
181,0.0,0,0.6371549384871813
182,2.0,1,0.9240593603065986
183,0.0,0,0.006404083560182
184,1.0,0,0.0042087642822633935
185,0.0,0,0.015667088438580404
186,0.0,0,0.026137070552162515
187,0.0,0,0.06206726646984569
188,0.0,0,0.21710687444761706
189,2.0,1,0.6772120761448207
190,0.0,0,0.0037617530766838494
191,1.0,0,0.004110421967806625
192,0.0,0,0.01875601373211484
193,0.0,0,0.04214598833575454
194,0.0,0,0.15896004606457606
195,0.0,0,0.6372112060765573
196,2.0,1,0.9248449748381842
197,0.0,0,0.006476545789939994
198,1.0,0,0.0042261844952321105
199,0.0,0,0.015833801528491766
200,0.0,0,0.026631037269748206
201,0.0,0,0.06412084133710474
202,0.0,0,0.2277892215328534
203,2.0,1,0.6945141125925898
204,0.0,0,0.0038330690727979362
205,0.0,0,0.004113300638845962
206,1.0,0,0.004453656901815783
207,0.0,0,0.01887751446498716
208,0.0,0,0.03982411154673954
209,0.0,0,0.1394660004991217
210,0.0,0,0.5759378447425706
211,2.0,1,0.9119029924735798
212,0.0,0,0.006079165612881579
213,0.0,0,0.004209680521270965
214,1.0,0,0.004227042842351066
215,0.0,0,0.015112143129069892
216,0.0,0,0.025287072290295705
217,0.0,0,0.06103872890510547
218,0.0,0,0.2192695678743365
219,2.0,1,0.6889790632388313
220,0.0,0,0.0038398154911401593
221,1.0,0,0.004144796164231702
222,0.0,0,0.019216466357445162
223,0.0,0,0.04411940248541812
224,0.0,0,0.17139503273748216
225,0.0,0,0.6665850743866304
226,2.0,1,0.9297651337768288
227,0.0,0,0.006628214626613284
228,1.0,0,0.004223579323553665
229,0.0,0,0.015599267572813895
230,0.0,0,0.025739243370832207
231,0.0,0,0.060067566792450844
232,0.0,0,0.20579311349380452
233,2.0,1,0.6561304299994191
234,0.0,0,0.0036788148476071475
235,0.0,0,0.004103342772236276
236,1.0,0,0.004476972587435838
237,0.0,0,0.01935077223263839
238,0.0,0,0.04197000294621659
239,0.0,0,0.1529929719257585
240,0.0,0,0.6162328413842572
241,2.0,1,0.9202482883073159
242,0.0,0,0.006299501896813559
243,0.0,0,0.0042109026938694245
244,1.0,0,0.00420081266399183
245,0.0,0,0.014780969356372216
246,0.0,0,0.0242303309182357
247,0.0,0,0.056487143113755946
248,0.0,0,0.19459551628451485
249,2.0,1,0.6437255179103706
250,0.0,0,0.0036619136850991004
251,0.0,0,0.004134313535217642
252,1.0,0,0.004535845933493378
253,0.0,0,0.020192172729152504
254,0.0,0,0.045652372038338405
255,0.0,0,0.17624087192948795
256,0.0,0,0.6727407709903384
257,2.0,1,0.9301826192004493
258,1.0,0,0.0065999805450998855
259,0.0,0,0.013155281483198961
260,0.0,0,0.02817020813770026
261,0.0,0,0.07533697344366935
262,0.0,0,0.27931170672370764
263,2.0,1,0.7503959158005916
264,1.0,0,0.004038045283717185
265,0.0,0,0.011833814060353042
266,0.0,0,0.02981588777318102
267,0.0,0,0.10384064569678282
268,0.0,0,0.47009304362301674
269,2.0,1,0.8881869684218234
270,0.0,0,0.005707460292059982
271,0.0,0,0.004253910061921197
272,1.0,0,0.004342338018492466
273,0.0,0,0.016473754329637866
274,0.0,0,0.029797434512559246
275,0.0,0,0.08201529527167323
276,0.0,0,0.33173057141682555
277,2.0,1,0.8132233919967257
278,1.0,0,0.0046141855639793596
279,0.0,0,0.012782829242647302
280,0.0,0,0.033856629534302046
281,0.0,0,0.12717622960857172
282,0.0,0,0.556820011813405
283,2.0,1,0.9099790103239781
284,0.0,0,0.006106767243367273
285,0.0,0,0.0042292770955218535
286,1.0,0,0.0042529837566648064
287,0.0,0,0.015376979237307598
288,0.0,0,0.026105588261704355
289,0.0,0,0.06459795133346875
290,0.0,0,0.23849967545878356
291,2.0,1,0.7182360487909902
292,0.0,0,0.003975868516744112
293,1.0,0,0.00415149535714223
294,0.0,0,0.018960703675822362
295,0.0,0,0.042519473532583445
296,0.0,0,0.1598660176154381
297,0.0,0,0.6375679663170793
298,2.0,1,0.9245999793246852
299,1.0,0,0.006448078897810838
300,0.0,0,0.01321707027578963
301,0.0,0,0.029120463943716885
302,0.0,0,0.08156291980391174
303,0.0,0,0.3151076344265954
304,2.0,1,0.7878324362695406
305,0.0,0,0.00428489988010507
306,1.0,0,0.00407202010591187
307,0.0,0,0.016769107128933262
308,0.0,0,0.03240783645636728
309,0.0,0,0.09725936469271337
310,0.0,0,0.410040051777238
311,2.0,1,0.8591427783214297
312,1.0,0,0.005127071511231071
313,0.0,0,0.012926586572126624
314,0.0,0,0.03267174924876801
315,0.0,0,0.11373296390950532
316,0.0,0,0.49385416909699426
317,2.0,1,0.8909388759101639
318,0.0,0,0.005608420817792057
319,0.0,0,0.004185178421535099
320,1.0,0,0.0042562014548166525
321,0.0,0,0.015575851879506645
322,0.0,0,0.02687402383259423
323,0.0,0,0.0682876322513009
324,0.0,0,0.2591032960416842
325,2.0,1,0.7455228054933872
326,0.0,0,0.004125490314832597
327,1.0,0,0.0041604756513057145
328,0.0,0,0.01874285837505422
329,0.0,0,0.04113772249384635
330,0.0,0,0.15001328433178296
331,0.0,0,0.609666933653518
332,2.0,1,0.9191573020963587
333,0.0,0,0.006276936071301205
334,1.0,0,0.004213115598492695
335,0.0,0,0.015901900705488397
336,0.0,0,0.027025822651494
337,0.0,0,0.06615678706625527
338,0.0,0,0.23936300311087896
339,2.0,1,0.7125494642982835
340,0.0,0,0.0039175490617765
341,0.0,0,0.0041199557163221386
342,1.0,0,0.004444308303462218
343,0.0,0,0.01867671414450975
344,0.0,0,0.03892439296557907
345,0.0,0,0.1338861780896171
346,0.0,0,0.557562610328659
347,2.0,1,0.9076810731450449
348,0.0,0,0.0059778103302851725
349,1.0,0,0.004208827387097331
350,0.0,0,0.016246033363792337
351,0.0,0,0.028473158609906037
352,0.0,0,0.07326358816773082
353,0.0,0,0.27847321259644325
354,2.0,1,0.7618932157218786
355,0.0,0,0.004191549505923347
356,1.0,0,0.0041362940289344455
357,0.0,0,0.018120797487479953
358,0.0,0,0.03820231500357934
359,0.0,0,0.13130053645092904
360,0.0,0,0.5502558990244584
361,0.0,0,0.9060907309071846
362,0.0,0,0.9564366567089992
363,0.0,0,0.9621776465080388
364,1.0,0,0.9571138177704909
365,0.0,0,0.973479850053285
366,0.0,0,0.9698180267980326
367,0.0,0,0.9632501496496362
368,0.0,0,0.9478795584322378
369,2.0,1,0.9009006399860344
370,0.0,0,0.0029175548585482144
371,0.0,0,0.0029037376355039936
