,input,expected_output,network_output
0,1.0,0,0.7565029462209184
1,0.0,0,0.13253700953671568
2,0.0,0,0.025646876335975555
3,2.0,1,0.030875488576041863
4,0.0,0,0.02258127324145415
5,0.0,0,0.029990906168810127
6,0.0,0,0.03844770303759546
7,0.0,0,0.04748605428877835
8,1.0,0,0.05546076043855527
9,0.0,0,0.17062849024901622
10,0.0,0,0.699255203504057
11,2.0,1,0.8639233522337978
12,0.0,0,0.03507661552555998
13,0.0,0,0.022736835537101926
14,0.0,0,0.02845702524967731
15,1.0,0,0.0334272529848933
16,0.0,0,0.05226368159487593
17,0.0,0,0.17267042558803775
18,2.0,1,0.6083393825472039
19,0.0,0,0.042032957383690533
20,0.0,0,0.02424396745731107
21,1.0,0,0.02962403005068449
22,0.0,0,0.048776865111459844
23,0.0,0,0.1696146410210751
24,2.0,1,0.66863998298968
25,0.0,0,0.05122538601288086
26,0.0,0,0.02420046178555929
27,0.0,0,0.029445209737254504
28,1.0,0,0.035413710783358934
29,0.0,0,0.06348932351077731
30,0.0,0,0.2773843273806545
31,2.0,1,0.7681942883263286
32,0.0,0,0.05209154142883478
33,0.0,0,0.02336775332923334
34,1.0,0,0.028629763957446024
35,0.0,0,0.04542758220814292
36,0.0,0,0.14362697534093963
37,2.0,1,0.6051540513105612
38,0.0,0,0.046673295787864694
39,0.0,0,0.024682736917603372
40,0.0,0,0.030047850874624055
41,1.0,0,0.036283310100687374
42,0.0,0,0.06793546896665963
43,0.0,0,0.3173462015444472
44,2.0,1,0.7942020137433045
45,0.0,0,0.05272706438371549
46,0.0,0,0.023232334794941228
47,0.0,0,0.028522710192417648
48,1.0,0,0.03384231993420635
49,0.0,0,0.055166242670290834
50,0.0,0,0.20040282432657006
51,2.0,1,0.6734813498159103
52,0.0,0,0.0461667992853515
53,0.0,0,0.023857903350949915
54,1.0,0,0.0291630412018991
55,0.0,0,0.047201414227185816
56,0.0,0,0.15711502137023617
57,2.0,1,0.6410906945605438
58,0.0,0,0.049181634269020766
59,0.0,0,0.02440004852112635
60,0.0,0,0.029691916035845107
61,0.0,0,0.03576849972662445
62,1.0,0,0.040550129473074285
63,0.0,0,0.07640316332478837
64,0.0,0,0.3271136931694448
65,2.0,1,0.77243140000715
66,0.0,0,0.045548361164192586
67,0.0,0,0.023170626356582187
68,0.0,0,0.02852230632723777
69,0.0,0,0.03355035677208646
70,1.0,0,0.036661867791328226
71,0.0,0,0.05638965050308198
72,0.0,0,0.1691567260148729
73,2.0,1,0.5403394616208628
74,0.0,0,0.03639003962288976
75,0.0,0,0.02449622143970313
76,0.0,0,0.029960220540216582
77,1.0,0,0.035421101543969206
78,0.0,0,0.0606929631455355
79,0.0,0,0.24249598035408765
80,2.0,1,0.7269842695826143
81,0.0,0,0.04853438903354408
82,0.0,0,0.023529608595907883
83,0.0,0,0.028809713252165536
84,0.0,0,0.034138486082402685
85,1.0,0,0.037721618920073856
86,0.0,0,0.061297375270816884
87,0.0,0,0.2058152515145651
88,2.0,1,0.6287597056593273
89,0.0,0,0.03978713758530874
90,0.0,0,0.023879421921561415
91,1.0,0,0.029254707359995268
92,0.0,0,0.046637000965785456
93,0.0,0,0.15181287103101668
94,2.0,1,0.621906240525129
95,0.0,0,0.047364545414600806
96,0.0,0,0.02451039998962098
97,1.0,0,0.029844167566531004
98,0.0,0,0.05097075059797532
99,0.0,0,0.18889113023954063
100,2.0,1,0.7090000267676388
101,0.0,0,0.055255652256359894
102,0.0,0,0.0239734616606939
103,0.0,0,0.02914794341666762
104,1.0,0,0.03503974218116213
105,0.0,0,0.06187919469739771
106,0.0,0,0.2635761582822456
107,2.0,1,0.7573909478663726
108,0.0,0,0.05173335265836131
109,0.0,0,0.02342729806435877
110,1.0,0,0.02868369327407384
111,0.0,0,0.045627597569330866
112,0.0,0,0.14513640778500117
113,2.0,1,0.6097155862149787
114,0.0,0,0.046992706960697406
115,0.0,0,0.02464634796184476
116,0.0,0,0.030001287715042346
117,0.0,0,0.036216821669726174
118,1.0,0,0.0412008717506783
119,0.0,0,0.08000172403065599
120,0.0,0,0.35429483421779423
121,2.0,1,0.7883922985216134
122,0.0,0,0.04566365087291521
123,0.0,0,0.02310100666302758
124,1.0,0,0.028470893356529508
125,0.0,0,0.04406233865249905
126,0.0,0,0.13279831861555424
127,2.0,1,0.5635462609483425
128,0.0,0,0.043652266360102415
129,0.0,0,0.02500529850033671
130,1.0,0,0.030473688216741682
131,0.0,0,0.05366334126402744
132,0.0,0,0.2124757962294627
133,2.0,1,0.7409756810524376
134,0.0,0,0.0579601257806431
135,0.0,0,0.02377470551604159
136,0.0,0,0.028917724241629077
137,0.0,0,0.03472138321092322
138,1.0,0,0.039125749761209964
139,0.0,0,0.06923411665688634
140,0.0,0,0.27255539113039634
141,2.0,1,0.7286573558075395
142,0.0,0,0.04437658862026764
143,0.0,0,0.023370666160152927
144,0.0,0,0.02870356660013619
145,1.0,0,0.03378528958090263
146,0.0,0,0.053913032966526435
147,0.0,0,0.18657761320696845
148,2.0,1,0.6414276631674877
149,0.0,0,0.04387234972543502
150,0.0,0,0.024027668717904
151,1.0,0,0.029368337546068535
152,0.0,0,0.0478464194771251
153,0.0,0,0.1621259726955463
154,2.0,1,0.6524177737270623
155,0.0,0,0.04998132451221667
156,0.0,0,0.024314354423104183
157,1.0,0,0.029586320774659666
158,0.0,0,0.050026807655885276
159,0.0,0,0.18093611378286018
160,2.0,1,0.6962738060095114
161,0.0,0,0.05422276612911941
162,0.0,0,0.02405794783710786
163,0.0,0,0.029248506214898964
164,0.0,0,0.035183506968606525
165,1.0,0,0.03977854243433806
166,0.0,0,0.07251991234013654
167,0.0,0,0.2980843015259197
168,2.0,1,0.7517722184282248
169,0.0,0,0.04515399566365389
170,0.0,0,0.023264364036511883
171,0.0,0,0.028602088101164255
172,1.0,0,0.03365461384833831
173,0.0,0,0.05340111993079604
174,0.0,0,0.1825140947439899
175,2.0,1,0.6328319884321285
176,0.0,0,0.04341428507406681
177,0.0,0,0.02408411344297046
178,0.0,0,0.02943415920329183
179,0.0,0,0.03498677925784028
180,1.0,0,0.038877152280685764
181,0.0,0,0.06645402057101435
182,0.0,0,0.24393053707823673
183,2.0,1,0.6900352561035228
184,0.0,0,0.04226409251343956
185,0.0,0,0.02353677404084264
186,0.0,0,0.02888259708622498
187,0.0,0,0.03398927074834149
188,1.0,0,0.037199068115158156
189,0.0,0,0.05842852088321778
190,0.0,0,0.18258966123377812
191,2.0,1,0.5745871676148411
192,0.0,0,0.03754576898387373
193,0.0,0,0.02422746203446405
194,1.0,0,0.02964982846273286
195,0.0,0,0.04801821730839628
196,0.0,0,0.16261374038976759
197,2.0,1,0.6487148471753139
198,0.0,0,0.04926282793273347
199,0.0,0,0.024310501760243984
200,0.0,0,0.02959482678040604
201,0.0,0,0.035593541429310815
202,1.0,0,0.04024850266237769
203,0.0,0,0.07464429705835503
204,0.0,0,0.31296887346928787
205,2.0,1,0.7624352550676617
206,0.0,0,0.04530169153211121
207,0.0,0,0.023213220681601553
208,0.0,0,0.028558139074195132
209,0.0,0,0.0335932844491664
210,1.0,0,0.036714260507111865
211,0.0,0,0.056585313206759955
212,0.0,0,0.17042938360246565
213,2.0,1,0.5437762819836867
214,0.0,0,0.036502908307010855
215,0.0,0,0.024467802649408916
216,0.0,0,0.029927043460162114
217,1.0,0,0.03537542021271413
218,0.0,0,0.06048512334010709
219,0.0,0,0.24070672852166816
220,2.0,1,0.7249339766128768
221,0.0,0,0.04842481665606118
222,0.0,0,0.02354031680709621
223,0.0,0,0.028821033346361654
224,1.0,0,0.03415349456512734
225,0.0,0,0.05616456975937436
226,0.0,0,0.20770878589313727
227,2.0,1,0.6842019927274091
228,0.0,0,0.04664425185683376
229,0.0,0,0.023787151236058537
230,0.0,0,0.029084820012849188
231,0.0,0,0.03453775448073999
232,1.0,0,0.038300613594616575
233,0.0,0,0.06391713215346306
234,0.0,0,0.22540220521961837
235,2.0,1,0.6634197333801664
236,0.0,0,0.04121283075374795
237,0.0,0,0.023679341804224048
238,1.0,0,0.02903470148879907
239,0.0,0,0.04587203366798571
240,0.0,0,0.14598192456553355
241,2.0,1,0.605514193228831
242,0.0,0,0.0462544596075455
243,0.0,0,0.024639732525653688
244,1.0,0,0.030007300659893734
245,0.0,0,0.05164908900745882
246,0.0,0,0.19473361619366278
247,2.0,1,0.7178148959246385
248,0.0,0,0.05601053925951046
249,0.0,0,0.02391789345324224
250,0.0,0,0.029081897144141652
251,1.0,0,0.03494786931442659
252,0.0,0,0.061445479409498446
253,0.0,0,0.2596953272775372
254,2.0,1,0.7539506930541534
255,0.0,0,0.051567628016496204
256,0.0,0,0.02344531133896339
257,1.0,0,0.028701103358786235
258,0.0,0,0.04568777084349566
259,0.0,0,0.14558841658481714
260,2.0,1,0.6110323421566877
261,0.0,0,0.047083664764381875
262,0.0,0,0.02463575943314563
263,0.0,0,0.029987818822488185
264,0.0,0,0.03619742710035936
265,1.0,0,0.041172918665751825
266,0.0,0,0.07984507312161551
267,0.0,0,0.3531304151863344
268,2.0,1,0.7877727709366824
269,0.0,0,0.04566499488765904
270,0.0,0,0.023103707896469865
271,1.0,0,0.028472713037640745
272,0.0,0,0.0440680473108907
273,0.0,0,0.13283874977609453
274,2.0,1,0.563688955615373
275,0.0,0,0.04366071974601313
276,0.0,0,0.025003982656122588
277,0.0,0,0.030471988961405835
278,1.0,0,0.036860738957960916
279,0.0,0,0.07085250790383162
280,0.0,0,0.34250169058968316
281,2.0,1,0.8064019679418255
282,0.0,0,0.05251356382580349
283,0.0,0,0.023165007894304333
284,0.0,0,0.028483261361302234
285,1.0,0,0.03378962100885796
286,0.0,0,0.054937166408621674
287,0.0,0,0.198455965957712
288,2.0,1,0.6699909884242721
289,0.0,0,0.04595652818765998
290,0.0,0,0.023878467395084438
291,0.0,0,0.029186826954473794
292,1.0,0,0.03468514829281507
293,0.0,0,0.058593788073305696
294,0.0,0,0.22888300423208563
295,2.0,1,0.7151798796005943
296,0.0,0,0.04852287442584358
297,0.0,0,0.02361745955015971
298,0.0,0,0.028894126735297947
