,input,expected_output,network_output
0,1.0,0,0.8896705119658991
1,2.0,1,0.9440995383144134
2,0.0,0,0.07861235325655998
3,0.0,0,0.00017697765837575174
4,0.0,0,0.0001590119074965468
5,0.0,0,0.0009455309656955865
6,0.0,0,0.003368210234525238
7,0.0,0,0.007862384660884453
8,1.0,0,0.03117985819675327
9,2.0,1,0.6092497945769355
10,0.0,0,0.0680619011275968
11,0.0,0,0.0002659310075403938
12,0.0,0,0.0003871152877925318
13,0.0,0,0.006487638213855584
14,0.0,0,0.09222969742127907
15,1.0,0,0.32984548159783056
16,2.0,1,0.8860871656066959
17,0.0,0,0.0888567853100224
18,0.0,0,0.0003074651734640398
19,0.0,0,0.0003336453386148165
20,0.0,0,0.004171745999389711
21,1.0,0,0.037615494138200326
22,2.0,1,0.582082347078753
23,0.0,0,0.06727264634744616
24,0.0,0,0.0002802538748337108
25,0.0,0,0.0004301943942730817
26,0.0,0,0.00798660270346223
27,1.0,0,0.12029121483089672
28,2.0,1,0.805159419503173
29,0.0,0,0.08257112327551923
30,0.0,0,0.00033107622972099117
31,0.0,0,0.0004371472142304326
32,0.0,0,0.007364823952750448
33,0.0,0,0.08843086664636404
34,1.0,0,0.2846060818796668
35,2.0,1,0.8696520987498264
36,0.0,0,0.08587314343758994
37,0.0,0,0.00029528386093245946
38,0.0,0,0.00032751279939623374
39,0.0,0,0.004113797856193383
40,0.0,0,0.03854068928969131
41,0.0,0,0.1357253226631357
42,1.0,0,0.3720116088207462
43,2.0,1,0.8876528176443836
44,0.0,0,0.08294032501545139
45,0.0,0,0.00026570734634433695
46,0.0,0,0.0002887917453691964
47,0.0,0,0.003217862056608918
48,0.0,0,0.026674408183440565
49,0.0,0,0.09434760870174526
50,1.0,0,0.2965395053761037
51,2.0,1,0.8723461146690207
52,0.0,0,0.08174596365596855
53,0.0,0,0.00026892642419465494
54,0.0,0,0.000302017554029694
55,0.0,0,0.00355704787520086
56,0.0,0,0.03179118022528544
57,1.0,0,0.1149133792275908
58,2.0,1,0.7789895879284889
59,0.0,0,0.07892228886803772
60,0.0,0,0.0002884702390362946
61,0.0,0,0.0003584467329248228
62,0.0,0,0.005205708699928122
63,0.0,0,0.06045310861786752
64,0.0,0,0.2204699537345559
65,1.0,0,0.5002269093131483
66,2.0,1,0.9088115802703538
67,0.0,0,0.0858415614635494
68,0.0,0,0.0002662935394284866
69,0.0,0,0.0002742677115723936
70,0.0,0,0.0028352781005473123
71,0.0,0,0.020891595327183828
72,0.0,0,0.06988793695202317
73,1.0,0,0.2348541696787631
74,2.0,1,0.8535348583696453
75,0.0,0,0.07992220748376717
76,0.0,0,0.0002679325579155424
77,0.0,0,0.0003107709005509346
78,0.0,0,0.0038208192761717565
79,0.0,0,0.036463930524771586
80,0.0,0,0.1345774794381427
81,1.0,0,0.37834109251858866
82,2.0,1,0.8901756062747137
83,0.0,0,0.08367863218596151
84,0.0,0,0.0002690013195345419
