,trial,prior_node,posterior_node,weight
0,0,117952,0,0.0
1,0,-2,7184,0.0
2,0,7184,7184,0.0
3,0,-1,18515,0.0
4,0,18515,18515,0.0
5,0,117952,117952,0.0
6,0,-1,117952,0.0
7,0,18515,117952,0.0
8,1,117952,0,-8.553516977354708e-05
9,1,-2,7184,-0.03245397302709991
10,1,7184,7184,0.03129764189878722
11,1,-1,18515,-0.004116339667673781
12,1,18515,18515,0.0
13,1,117952,117952,0.014188635565344393
14,1,-1,117952,-0.01186017070741079
15,1,18515,117952,-0.010362495080062428
16,2,117952,0,-8.553516977354708e-05
17,2,-2,7184,-0.06646103892911115
18,2,7184,7184,0.05427487527573673
19,2,-1,18515,-0.005310643734079629
20,2,18515,18515,0.00024178029621763658
21,2,117952,117952,0.014188635565344393
22,2,-1,117952,-0.019492435468449004
23,2,18515,117952,-0.015970105232574954
24,3,117952,0,-8.553516977354708e-05
25,3,-2,7184,-0.06662508342516534
26,3,7184,7184,0.058994490566926246
27,3,-1,18515,-0.009563654172290686
28,3,18515,18515,0.0027129614461693353
29,3,117952,117952,0.014188635565344393
30,3,-1,117952,-0.02552510297791665
31,3,18515,117952,-0.022683946279807958
32,4,117952,0,-0.008035546885044206
33,4,-2,7184,-0.07098709527442117
34,4,7184,7184,0.06401997782620707
35,4,-1,18515,-0.014727268111171421
36,4,18515,18515,0.008338763588180576
37,4,117952,117952,0.0149565787490525
38,4,-1,117952,-0.031925934981326176
39,4,18515,117952,-0.024454427970434484
40,5,117952,0,-0.01552087420895645
41,5,-2,7184,-0.08000368206118982
42,5,7184,7184,0.06911947712578057
43,5,-1,18515,-0.01956062213471904
44,5,18515,18515,0.013299816988702532
45,5,117952,117952,0.016017130142328927
46,5,-1,117952,-0.03775745128964875
47,5,18515,117952,-0.02510043102342762
48,6,117952,0,-0.019973419308929943
49,6,-2,7184,-0.07847998663480499
50,6,7184,7184,0.06981052755699615
51,6,-1,18515,-0.023488488501419307
52,6,18515,18515,0.01691315907262684
53,6,117952,117952,0.01599936225951357
54,6,-1,117952,-0.04175676236171075
55,6,18515,117952,-0.026410033155618542
56,7,117952,0,-0.026092984226207188
57,7,-2,7184,-0.07495205891184172
58,7,7184,7184,0.0720205926779877
59,7,-1,18515,-0.025726649314118246
60,7,18515,18515,0.019576468037852107
61,7,117952,117952,0.016840876981543306
62,7,-1,117952,-0.04648218509536643
63,7,18515,117952,-0.02621048816817572
64,8,117952,0,-0.030802087391824925
65,8,-2,7184,-0.08283319169300896
66,8,7184,7184,0.07496963563871376
67,8,-1,18515,-0.02750186520167981
68,8,18515,18515,0.021554933208042498
69,8,117952,117952,0.017193642755762906
70,8,-1,117952,-0.05028927411092511
71,8,18515,117952,-0.027050095718810185
72,9,117952,0,-0.03530355285137337
73,9,-2,7184,-0.08380973066425586
74,9,7184,7184,0.07685008487653147
75,9,-1,18515,-0.030419211946276635
76,9,18515,18515,0.024339982634383566
77,9,117952,117952,0.01766840965958431
78,9,-1,117952,-0.053784967438349304
79,9,18515,117952,-0.027120615101839992
80,10,117952,0,-0.039092176623891264
81,10,-2,7184,-0.07945158536645777
82,10,7184,7184,0.0779773784390433
83,10,-1,18515,-0.032914354766114165
84,10,18515,18515,0.02670116335263596
85,10,117952,117952,0.01798546345927995
86,10,-1,117952,-0.0568159856625264
87,10,18515,117952,-0.027141891106622656
88,11,117952,0,-0.04297360944047821
89,11,-2,7184,-0.08108823750466394
90,11,7184,7184,0.07900890523093046
91,11,-1,18515,-0.03344208532113704
92,11,18515,18515,0.027509838909183588
93,11,117952,117952,0.018479603530637212
94,11,-1,117952,-0.05987909040723313
95,11,18515,117952,-0.027318031657021572
96,12,117952,0,-0.04642362142853468
97,12,-2,7184,-0.08242383728442076
98,12,7184,7184,0.07991711559094311
99,12,-1,18515,-0.03554062457756953
100,12,18515,18515,0.02952468969192593
101,12,117952,117952,0.018948745635108535
102,12,-1,117952,-0.06254116022579458
103,12,18515,117952,-0.027296790378284003
104,13,117952,0,-0.04917779385433674
105,13,-2,7184,-0.08349074288210888
106,13,7184,7184,0.08067472627083075
107,13,-1,18515,-0.03730843475154867
108,13,18515,18515,0.03115618676960933
109,13,117952,117952,0.01922363566553955
110,13,-1,117952,-0.06474309513229315
111,13,18515,117952,-0.027468726420172722
112,14,117952,0,-0.0519304655370668
113,14,-2,7184,-0.08428782222252676
114,14,7184,7184,0.08121404032819739
115,14,-1,18515,-0.038850195092996614
116,14,18515,18515,0.032632966498042516
117,14,117952,117952,0.019606836235516352
118,14,-1,117952,-0.06688057032621389
119,14,18515,117952,-0.02746386672892124
120,15,117952,0,-0.054251245172938375
121,15,-2,7184,-0.07981628574223452
122,15,7184,7184,0.08149888407819313
123,15,-1,18515,-0.04015557847444663
124,15,18515,18515,0.03384975197342423
125,15,117952,117952,0.019894423993284633
126,15,-1,117952,-0.06871569531471762
127,15,18515,117952,-0.027322986570150802
128,16,117952,0,-0.056574147136382105
129,16,-2,7184,-0.08637774539598186
130,16,7184,7184,0.08187258382105574
131,16,-1,18515,-0.03932503880939801
132,16,18515,18515,0.03330389561141501
133,16,117952,117952,0.02025316644024353
134,16,-1,117952,-0.07056775975155799
135,16,18515,117952,-0.027648152657456508
136,17,117952,0,-0.058399249176086576
137,17,-2,7184,-0.0815308082562488
138,17,7184,7184,0.0820684385566419
139,17,-1,18515,-0.04054056625674245
140,17,18515,18515,0.034367016586446336
141,17,117952,117952,0.020498949762852506
142,17,-1,117952,-0.0719945184868692
143,17,18515,117952,-0.027416271732398932
144,18,117952,0,-0.06019448210968635
145,18,-2,7184,-0.07753810486157381
146,18,7184,7184,0.08211723311879256
147,18,-1,18515,-0.03962565635274112
148,18,18515,18515,0.033692945598987875
