,input,expected_output,network_output
0,1.0,0,0.38059906193950865
1,0.0,0,0.10570049634725688
2,0.0,0,0.0361063011348424
3,0.0,0,0.03732335906293173
4,0.0,0,0.06302418671525029
5,2.0,1,0.1631567075124623
6,0.0,0,0.026177614264994844
7,0.0,0,0.026755166444753987
8,1.0,0,0.028749967078849657
9,0.0,0,0.03447102929173412
10,0.0,0,0.059983490663541576
11,0.0,0,0.126861828266355
12,0.0,0,0.5118390893366662
13,2.0,1,0.8233436152825955
14,0.0,0,0.02936021180104449
15,1.0,0,0.022540029186631245
16,0.0,0,0.027545730779080683
17,0.0,0,0.04497259060735048
18,0.0,0,0.08963308918494395
19,0.0,0,0.3738665365784391
20,2.0,1,0.7915482429553379
21,0.0,0,0.032157854689050504
22,0.0,0,0.022617604608984054
23,1.0,0,0.02567461871096999
24,0.0,0,0.029942010198503236
25,0.0,0,0.047704665105259246
26,0.0,0,0.08955531081227518
27,0.0,0,0.3544986272727187
28,2.0,1,0.7771188819622423
29,0.0,0,0.031614486688920355
30,1.0,0,0.022627035047905107
31,0.0,0,0.027582832126039115
32,0.0,0,0.04505744949911214
33,0.0,0,0.08994501265779706
34,0.0,0,0.37568470391543324
35,2.0,1,0.7922767251735452
36,1.0,0,0.03213898432490462
37,0.0,0,0.023179125854730066
38,0.0,0,0.036583378066337824
39,0.0,0,0.07157171567455628
40,0.0,0,0.2834087388019702
41,2.0,1,0.7552903395822818
42,0.0,0,0.03440652065698
43,0.0,0,0.02273474460024362
44,1.0,0,0.025853027532713492
45,0.0,0,0.030396744716645507
46,0.0,0,0.04934113164820955
47,0.0,0,0.09530577747941475
48,0.0,0,0.386212801597756
49,2.0,1,0.790679492015834
50,0.0,0,0.0313109475625185
51,0.0,0,0.02260256292149944
52,1.0,0,0.025598868922691604
53,0.0,0,0.029735807060610204
54,0.0,0,0.04696555077584294
55,0.0,0,0.08702819865448079
56,0.0,0,0.33998643593562333
57,2.0,1,0.7699554875015241
58,0.0,0,0.031726824405058855
59,0.0,0,0.022640326218679247
60,1.0,0,0.025596810724910244
61,0.0,0,0.029712124254470625
62,0.0,0,0.046865917351545876
63,0.0,0,0.08667176715451813
64,0.0,0,0.3378769369017047
65,2.0,1,0.7688436777574376
66,1.0,0,0.03174018628647623
67,0.0,0,0.023226372776572916
68,0.0,0,0.03644803070315087
69,0.0,0,0.07050735299422402
70,0.0,0,0.274600966796186
71,2.0,1,0.7483750253197679
72,0.0,0,0.03432803694503501
73,0.0,0,0.022748698042929165
74,1.0,0,0.025849474411120617
75,0.0,0,0.030373341501187694
76,0.0,0,0.049240016472493126
77,0.0,0,0.09491839750228692
78,0.0,0,0.3840889938133358
79,2.0,1,0.7898366253910468
80,1.0,0,0.03133185431254835
81,0.0,0,0.023133539099212543
82,0.0,0,0.036399138438177395
83,0.0,0,0.07051022854506014
84,0.0,0,0.2749551273545425
85,2.0,1,0.7487803078478776
86,0.0,0,0.034346189398101364
87,1.0,0,0.022748232831250503
88,0.0,0,0.02800245472068491
89,0.0,0,0.046993979174352614
90,0.0,0,0.09913098177503028
91,0.0,0,0.4294458595376761
92,2.0,1,0.8112750300890857
93,0.0,0,0.031567184930654656
94,1.0,0,0.022583647015454702
95,0.0,0,0.02773264994692348
96,0.0,0,0.045889691859301904
97,0.0,0,0.09398948250816956
98,0.0,0,0.40034038958824164
99,2.0,1,0.8017788624605401
100,0.0,0,0.03190712509983654
101,0.0,0,0.02259993897706258
102,1.0,0,0.025684286327125726
103,0.0,0,0.029976136934213447
104,0.0,0,0.04783447376338122
105,0.0,0,0.09001369228687416
106,0.0,0,0.35711341923720713
107,2.0,1,0.7783459817975069
108,0.0,0,0.03159293786697682
109,0.0,0,0.022624799428897568
110,1.0,0,0.02559693277321659
111,0.0,0,0.029720638881552994
112,0.0,0,0.046903322121758406
113,0.0,0,0.08680727033725233
114,0.0,0,0.3386828808607457
115,2.0,1,0.7692714241190399
116,0.0,0,0.03173525318286023
117,1.0,0,0.02264159146868895
118,0.0,0,0.02758437919572909
119,0.0,0,0.045038709815168464
120,0.0,0,0.08982505346766648
121,0.0,0,0.37489175729401714
122,2.0,1,0.7919350024193159
123,1.0,0,0.03214406744059427
124,0.0,0,0.02318045447393769
125,0.0,0,0.03658313628609836
126,0.0,0,0.07156582725007203
127,0.0,0,0.2833567729466386
128,2.0,1,0.7552501342210073
129,0.0,0,0.03440600589759254
130,1.0,0,0.02273482263956341
131,0.0,0,0.02800505760583686
132,0.0,0,0.0470395382063391
133,0.0,0,0.09941873404504177
134,0.0,0,0.4311244245219002
135,2.0,1,0.811801404078479
136,0.0,0,0.031549747094361945
137,0.0,0,0.022582827535091384
138,1.0,0,0.02569557996215847
139,0.0,0,0.030012426289519247
140,0.0,0,0.047969924624351706
141,0.0,0,0.09048992230748448
142,0.0,0,0.35981129194792616
143,2.0,1,0.7795888858233287
144,1.0,0,0.03156988034235058
145,0.0,0,0.02317894228849122
146,0.0,0,0.03642055650704963
147,0.0,0,0.0704995829844598
148,0.0,0,0.2747167411948943
149,2.0,1,0.7485358137148348
150,0.0,0,0.034337610699646845
151,0.0,0,0.0227485797172728
152,1.0,0,0.02585025406696343
153,0.0,0,0.030375893361882733
154,0.0,0,0.04924992691335301
155,0.0,0,0.0949548572540104
156,0.0,0,0.38428677252465626
157,2.0,1,0.7899148663853475
158,1.0,0,0.03132983985117118
159,0.0,0,0.02313319967744507
160,0.0,0,0.03639902161863609
161,0.0,0,0.07051053465848776
162,0.0,0,0.27495866894118376
163,2.0,1,0.7487835000354938
164,0.0,0,0.03434626213283645
165,1.0,0,0.022748227230946924
166,0.0,0,0.02800246138653177
167,0.0,0,0.0469940283682851
168,0.0,0,0.0991312594190701
169,0.0,0,0.4294474457015756
170,2.0,1,0.811275522080784
171,0.0,0,0.03156716740488718
172,0.0,0,0.022583646226294232
173,1.0,0,0.025694554938167864
174,0.0,0,0.030009367664164933
175,0.0,0,0.04795865121169604
176,0.0,0,0.09045041250771511
177,0.0,0,0.3595882764738942
178,2.0,1,0.7794870451806528
179,0.0,0,0.03157182000188432
180,1.0,0,0.02262272231360338
181,0.0,0,0.027582765358937934
182,0.0,0,0.04506464340281893
183,0.0,0,0.08998755483667437
184,0.0,0,0.3759617328773209
185,2.0,1,0.7923946811783198
186,1.0,0,0.0321370565051041
187,0.0,0,0.023178657057129397
188,0.0,0,0.03658343067719296
189,0.0,0,0.0715735727041281
190,0.0,0,0.28342528169312997
